Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-17JUN22-40000-P,-,-,-,-,0.29,-,-,-,-,-0.9808,0.00001,2.32568,-9.23418,-10.12358,-
BTC-17JUN22-28000-P,0.014,37.9,75.13,0.0125,0.0129,0.0135,77.48,30.8,603.3,-0.18331,0.00007,13.19553,-53.58494,-1.56324,140.7
BTC-17JUN22-45000-P,0.49,-,-,-,0.4505,-,-,-,1,-0.99652,-,0.51926,-2.32381,-11.52735,-
BTC-17JUN22-34000-P,0.098,-,-,-,0.1058,0.1855,198.15,6,124.5,-0.80882,0.00009,13.54267,-44.70313,-7.28614,8
BTC-17JUN22-25000-P,0.0035,47.7,91.03,0.004,0.0046,0.005,95.97,73.8,364.7,-0.06533,0.00003,6.3284,-31.6874,-0.55673,90.8
BTC-17JUN22-29000-P,0.0205,26.6,70.57,0.0185,0.019,0.0195,72.49,6,665.8,-0.25896,0.00009,16.09266,-61.42841,-2.21434,359.6
BTC-17JUN22-33000-P,0.099,-,-,-,0.0803,0.166,200.72,0.1,4.5,-0.71577,0.00011,16.85708,-55.7944,-6.34185,-
BTC-17JUN22-29000-C,0.0895,13.2,55.7,0.0765,0.0843,0.1,100.31,13.2,453.1,0.74104,0.00009,16.09266,-61.42841,5.23153,42.7
BTC-17JUN22-27000-P,0.008,32.5,80.15,0.0085,0.0089,0.0095,83.11,70.4,700.2,-0.12924,0.00005,10.47427,-45.5335,-1.10078,188.9
BTC-17JUN22-22000-P,0.001,13.9,110.83,0.0015,0.0017,0.002,116.38,55.2,157.6,-0.02303,0.00001,2.71176,-16.2999,-0.19663,44.3
BTC-17JUN22-30000-C,0.061,6.1,65.84,0.06,0.0612,0.064,72.51,6.2,1188.9,0.64215,0.00011,18.56095,-67.10145,4.62837,445.3
BTC-17JUN22-31000-C,0.044,18.7,62.73,0.0405,0.0419,0.0425,65.87,17.3,451,0.52405,0.00012,19.79766,-68.6318,3.84065,149
BTC-17JUN22-32000-P,0.0485,7.1,61.43,0.0575,0.0585,0.0605,66.27,13.6,105.5,-0.60057,0.00012,19.20005,-64.65981,-5.25069,8.2
BTC-17JUN22-27000-C,0.107,-,-,-,0.1387,-,-,-,0.1,0.87081,0.00005,10.47215,-45.52429,5.83193,-
BTC-17JUN22-20000-C,-,-,-,-,0.3563,-,-,-,-,0.98849,-,1.49762,-10.08127,5.03658,-
BTC-17JUN22-21000-C,-,-,-,-,0.3243,-,-,-,-,0.98411,0.00001,1.97819,-12.52851,5.2561,-
BTC-17JUN22-26000-C,-,-,-,-,0.1684,-,-,-,-,0.90836,0.00004,8.18237,-38.19969,5.89507,-
BTC-17JUN22-21000-P,0.001,13.9,116.24,0.001,0.0011,0.0015,123.74,8.6,110.6,-0.01589,0.00001,1.97819,-12.52851,-0.13574,19.5
BTC-17JUN22-24000-P,0.0025,22.9,98.38,0.003,0.0033,0.0035,101.6,7,304.6,-0.04651,0.00002,4.83932,-25.87395,-0.39666,59.5
BTC-17JUN22-30000-P,0.0265,26.4,66.82,0.0275,0.0281,0.029,69.33,47,426,-0.35785,0.00011,18.56095,-67.10145,-3.07426,173.6
BTC-17JUN22-24000-C,-,-,-,-,0.2298,-,-,-,-,0.95347,0.00002,4.84053,-25.88042,5.76532,-
BTC-17JUN22-33000-C,0.018,27.9,60.7,0.016,0.0167,0.017,62.54,18.2,847,0.28423,0.00011,16.85708,-55.7944,2.13104,256.7
BTC-17JUN22-23000-C,-,-,-,-,0.2611,-,-,-,-,0.9665,0.00001,3.70582,-21.15641,5.61931,-
BTC-17JUN22-32000-C,0.0285,27.3,61.22,0.026,0.0272,0.0275,63.65,8.6,1381.9,0.39943,0.00012,19.20005,-64.65981,2.96545,150.5
BTC-17JUN22-50000-P,-,-,-,-,0.6115,-,-,-,-,-0.99975,-,0.04619,-0.20678,-12.83579,-
BTC-17JUN22-15000-C,-,-,-,-,0.5166,-,-,-,-,0.99951,-,0.08645,-0.65728,3.84717,-
BTC-17JUN22-35000-P,0.1563,-,-,-,0.134,0.209,200.26,0.1,65,-0.8748,0.00007,10.24561,-34.26046,-8.0367,-
BTC-17JUN22-31000-P,0.0475,22.2,64.08,0.0405,0.0411,0.042,66.43,8.1,182.4,-0.47595,0.00012,19.79766,-68.6318,-4.11873,38.9
BTC-17JUN22-50000-C,0.0005,-,-,-,-,0.0005,119.57,41,9.7,0.00025,-,0.04619,-0.20678,0.00192,-
BTC-17JUN22-28000-C,0.088,0.4,-,0.054,0.1105,0.176,200.03,0.1,35.1,0.81669,0.00007,13.19553,-53.58494,5.62587,-
BTC-17JUN22-36000-C,0.0035,101.8,61.28,0.003,0.0036,0.004,65.53,22.7,321.3,0.08106,0.00005,7.46479,-25.49737,0.61682,82.4
BTC-17JUN22-25000-C,-,-,-,-,0.1988,-,-,-,-,0.93467,0.00003,6.3284,-31.6874,5.86213,-
BTC-17JUN22-36000-P,0.157,-,-,-,0.1639,-,-,-,0.2,-0.9189,0.00005,7.46767,-25.50722,-8.62602,-
BTC-17JUN22-23000-P,0.0015,25.9,103.44,0.002,0.0024,0.0025,107.8,2.9,311,-0.03349,0.00001,3.70487,-21.15099,-0.28595,118.7
BTC-17JUN22-34000-C,0.0095,16.1,60.76,0.0095,0.01,0.0105,63.05,78.8,1010.7,0.19118,0.00009,13.54267,-44.70313,1.44351,243.5
BTC-17JUN22-26000-P,0.005,24.7,86.21,0.006,0.0063,0.0065,88.12,4.6,414.8,-0.09161,0.00004,8.18054,-38.19112,-0.78029,122.3
BTC-17JUN22-45000-C,0.0005,-,-,-,0.0001,0.0005,96.54,28.2,307.8,0.00348,-,0.51926,-2.32381,0.02659,-
BTC-17JUN22-35000-C,0.006,36.9,61.19,0.0055,0.006,0.0065,64.22,85,553.8,0.12514,0.00007,10.24224,-34.2492,0.94926,74.1
BTC-17JUN22-15000-P,0.0005,-,-,-,-,0.0005,186.14,15,358.4,-0.00049,-,0.08642,-0.65704,-0.00414,-
BTC-17JUN22-40000-C,0.0005,47.9,69.7,0.0005,0.0008,0.001,76.85,0.1,404.4,0.0192,0.00001,2.32568,-9.23418,0.14658,50
BTC-17JUN22-20000-P,0.0005,28.5,117.46,0.0005,0.0009,0.001,129.02,2.8,536.1,-0.01151,-,1.49721,-10.07854,-0.09847,42.3
BTC-17JUN22-22000-C,-,-,-,-,0.2926,-,-,-,-,0.97697,0.00001,2.71176,-16.2999,5.45196,-
