Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-26AUG22-40000-C,0.0325,14.3,58.79,0.031,0.0318,0.032,59.51,11.6,358.2,0.22604,0.00003,43.83038,-16.39861,13.20068,0.7
BTC-26AUG22-10000-C,-,-,-,-,0.682,-,-,-,-,0.99105,-,3.52687,-2.59113,21.00394,-
BTC-26AUG22-26000-C,-,-,-,-,0.2197,0.419,200.1,0.1,-,0.76815,0.00003,44.45862,-19.34885,37.2768,-
BTC-26AUG22-28000-C,0.1565,8,51.18,0.1515,0.1755,0.206,84.61,8,29.2,0.6954,0.00004,51.02776,-21.24823,35.34016,-
BTC-26AUG22-28000-P,0.0675,20.8,65.64,0.0705,0.0714,0.072,66.56,11.6,76.7,-0.3046,0.00004,51.02776,-21.24823,-25.54705,57.2
BTC-26AUG22-80000-C,0.001,54.9,73.5,0.0005,0.001,0.002,85.82,125.6,35,0.00935,-,3.66212,-1.83266,0.56434,-
BTC-26AUG22-14000-C,-,-,-,-,0.5576,-,-,-,-,0.97412,-,8.76818,-5.56249,28.31176,-
BTC-26AUG22-45000-C,0.014,31.6,59.89,0.015,0.0158,0.0165,61.44,40.5,118.3,0.12623,0.00002,30.21056,-11.56323,7.50367,20.9
BTC-26AUG22-50000-P,-,-,-,-,0.6083,-,-,-,-,-0.92609,0.00002,20.40443,-8.12034,-104.29472,-
BTC-26AUG22-80000-P,-,-,-,-,1.5604,-,-,-,-,-0.99065,-,3.66212,-1.83266,-173.39913,-
BTC-26AUG22-15000-C,-,-,-,-,0.5269,-,-,-,-,0.96783,0.00001,10.50851,-6.41937,29.97223,-
BTC-26AUG22-30000-P,0.1265,20.2,63.05,0.0955,0.0967,0.098,64.45,17.5,67.9,-0.38713,0.00004,55.80752,-22.39183,-32.88372,0.6
BTC-26AUG22-10000-P,0.0035,78.8,112.24,0.0015,0.002,0.0025,121.08,34.2,128.5,-0.00895,-,3.52687,-2.59113,-0.74149,-
BTC-26AUG22-18000-P,0.011,30,86.75,0.012,0.0122,0.013,88.55,32.7,257.2,-0.05929,0.00001,17.20144,-9.44725,-4.8614,2
BTC-26AUG22-16000-C,-,-,-,-,0.4964,-,-,-,-,0.96024,0.00001,12.50048,-7.36573,31.5265,-
BTC-26AUG22-34000-C,0.0825,7.5,60.12,0.0775,0.0782,0.079,60.94,4.9,46.6,0.43703,0.00004,57.39882,-21.8807,24.3778,0.3
BTC-26AUG22-20000-C,-,-,-,-,0.378,-,-,-,-,0.91367,0.00001,22.94772,-11.79714,36.41184,-
BTC-26AUG22-35000-C,0.063,18.4,59.53,0.0665,0.0674,0.068,60.37,11.2,133.9,0.39534,0.00004,56.11237,-21.2254,22.27891,55.8
BTC-26AUG22-32000-C,0.0985,5.7,61.29,0.1035,0.1045,0.1055,62.37,4.7,106.3,0.52502,0.00004,58.03627,-22.60203,28.58463,57.1
BTC-26AUG22-50000-C,0.0085,8.4,62.86,0.0085,0.0087,0.0095,64.37,133.4,116.3,0.07391,0.00002,20.40443,-8.12034,4.43244,4.3
BTC-26AUG22-18000-C,-,-,-,-,0.4364,-,-,-,-,0.94071,0.00001,17.20144,-9.44725,34.28038,-
BTC-26AUG22-34000-P,0.156,33,58.82,0.163,0.1664,0.201,79.37,8,0.1,-0.56233,0.00004,57.43939,-21.89621,-49.51366,-
BTC-26AUG22-55000-P,-,-,-,-,0.7649,-,-,-,-,-0.95314,0.00001,14.27359,-5.95248,-116.77922,-
BTC-26AUG22-36000-P,-,-,-,-,0.2098,0.4665,200.17,0.1,-,-0.64366,0.00004,54.33845,-20.4328,-58.01257,-
BTC-26AUG22-36000-C,0.0497,28.6,59.05,0.057,0.0581,0.059,60.2,13.1,116,0.35634,0.00004,54.33845,-20.4328,20.27099,20
BTC-26AUG22-22000-P,0.0315,70.7,76.06,0.025,0.0257,0.0265,77.63,27.9,120.1,-0.12301,0.00002,29.66976,-14.34902,-10.10616,3.5
BTC-26AUG22-60000-P,-,-,-,-,0.9231,-,-,-,-,-0.96859,0.00001,10.30279,-4.48906,-128.5783,-
BTC-26AUG22-45000-P,-,-,-,-,0.4555,0.689,200.53,0.1,-,-0.87377,0.00002,30.21056,-11.56323,-90.35078,-
BTC-26AUG22-30000-C,0.142,9.3,62.91,0.1355,0.1369,0.138,64.31,1.6,33.8,0.61287,0.00004,55.80752,-22.39183,32.35258,15.5
BTC-26AUG22-14000-P,0.0065,60,98.92,0.005,0.0055,0.006,102.48,37.2,88.8,-0.02588,-,8.76818,-5.56249,-2.13185,2
BTC-26AUG22-20000-P,0.022,39,81.18,0.0175,0.0178,0.0185,82.54,26.6,210.6,-0.08633,0.00001,22.94772,-11.79714,-7.07903,1.9
BTC-26AUG22-15000-P,0.006,32,96.21,0.0065,0.0068,0.007,97.69,2.5,50.2,-0.03217,0.00001,10.50851,-6.41937,-2.64592,1
BTC-26AUG22-24000-P,0.035,33.2,72.1,0.036,0.0366,0.0375,73.36,22.3,139.1,-0.17111,0.00002,37.03964,-16.93821,-14.11759,53.2
BTC-26AUG22-55000-C,0.005,8.9,65.39,0.005,0.0054,0.006,67.55,67,39.3,0.04686,0.00001,14.27359,-5.95248,2.82067,0.3
BTC-26AUG22-24000-C,-,-,-,-,0.2685,0.4455,200.28,0.1,-,0.82889,0.00002,37.03964,-16.93821,38.07145,-
BTC-26AUG22-16000-P,0.0075,31,92.81,0.008,0.0083,0.009,95.28,33.1,142.5,-0.03976,0.00001,12.50048,-7.36573,-3.2662,-
BTC-26AUG22-22000-C,-,-,-,-,0.3219,0.474,200.3,0.1,-,0.87699,0.00002,29.66976,-14.34902,37.7338,-
BTC-26AUG22-35000-P,-,-,-,-,0.1873,0.2945,118.1,0.3,-,-0.60404,0.00004,56.16188,-21.2442,-53.78771,-
BTC-26AUG22-40000-P,0.36,-,-,-,0.3115,0.563,200.44,0.1,1,-0.77396,0.00003,43.83038,-16.39861,-73.78106,-
BTC-26AUG22-70000-C,0.0015,15,72.96,0.0015,0.0018,0.002,75.69,1.3,87.2,0.01626,-,5.91494,-2.78597,0.98137,-
BTC-26AUG22-70000-P,-,-,-,-,1.2412,-,-,-,-,-0.98374,-,5.91494,-2.78597,-151.23666,-
BTC-26AUG22-32000-P,0.137,5.7,61.43,0.1275,0.1285,0.1295,62.51,8,57.4,-0.47498,0.00004,58.03627,-22.60203,-41.00076,7.7
BTC-26AUG22-60000-C,0.0035,2.7,69.04,0.0035,0.0035,0.004,70.5,9.1,105.2,0.03141,0.00001,10.30279,-4.48906,1.8943,-
BTC-26AUG22-38000-P,0.3,-,-,-,0.2586,0.5145,200.49,0.1,1,-0.71475,0.00004,49.50723,-18.51007,-66.16281,-
BTC-26AUG22-26000-P,0.0485,35.6,68.72,0.051,0.0515,0.0525,69.77,10.2,64,-0.23185,0.00003,44.45862,-19.34885,-19.26133,9.5
BTC-26AUG22-38000-C,0.032,20.1,58.82,0.042,0.0428,0.0435,59.77,10,43.1,0.2847,0.00004,49.43874,-18.48443,16.43204,15.4
