Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-30DEC22-90000-P,1.099,-,-,-,1.8606,-,-,-,8.1,-0.95543,0.00001,22.25809,-3.85097,-499.92541,-
BTC-30DEC22-50000-P,0.726,10,-,0.5845,0.6344,1.0255,199.89,0.1,104.1,-0.7734,0.00002,71.25968,-10.82256,-249.93174,-
BTC-30DEC22-25000-C,0.287,9,60.09,0.284,0.3044,0.3375,83.03,9,30.3,0.76071,0.00002,73.45644,-12.33402,81.00024,-
BTC-30DEC22-100000-C,0.0065,8.7,72.98,0.006,0.0063,0.007,74.69,56,2269.2,0.03488,-,18.23782,-3.26798,5.06565,6.7
BTC-30DEC22-60000-P,0.977,60,-,0.05,0.9286,1.3015,200.15,0.1,63.6,-0.86475,0.00001,51.44738,-8.00121,-318.37622,-
BTC-30DEC22-22000-P,0.0665,13.3,71.39,0.0655,0.0668,0.0685,72.95,11.9,321.8,-0.17431,0.00002,60.85485,-10.67877,-42.80743,2.2
BTC-30DEC22-50000-C,0.05,10.5,62.06,0.049,0.0497,0.051,62.94,11.7,1129.9,0.22665,0.00002,71.27479,-10.82486,31.40748,4.4
BTC-30DEC22-250000-C,0.001,119.9,89.34,0.0005,0.0009,0.001,94.89,15,574.3,0.00477,-,3.28395,-0.74953,0.69222,-
BTC-30DEC22-15000-P,0.024,35.1,82.91,0.0235,0.0242,0.025,84.45,13.3,1605.7,-0.06698,0.00001,30.71573,-6.25652,-16.19261,103.6
BTC-30DEC22-300000-C,0.001,117.5,95.89,0.0005,0.0008,0.001,101.71,25,448.2,0.00414,-,2.88944,-0.7007,0.59449,-
BTC-30DEC22-70000-C,0.0155,19.5,65.25,0.0155,0.0164,0.0175,66.93,58.5,2697.6,0.08682,0.00001,37.41586,-6.01682,12.49387,4.6
BTC-30DEC22-45000-P,0.6215,-,-,-,0.4962,0.892,200.18,0.1,15.1,-0.70254,0.00002,81.97228,-12.36289,-212.80379,-
BTC-30DEC22-28000-P,0.143,15.7,65.83,0.133,0.1346,0.1365,67.15,12.1,573.3,-0.31248,0.00002,83.78598,-13.5524,-79.37129,1.9
BTC-30DEC22-26000-C,0.262,9,54.85,0.2525,0.2845,0.319,82.11,9,12.1,0.73706,0.00002,77.21283,-12.79907,80.34052,1
BTC-30DEC22-120000-P,-,-,-,-,2.8077,-,-,-,-,-0.9762,-,13.27041,-2.52952,-671.74151,-
BTC-30DEC22-10000-P,0.01,3.8,95.83,0.009,0.0097,0.0105,99.1,4.9,102.5,-0.02624,-,14.4039,-3.41236,-6.37356,0.9
BTC-30DEC22-200000-C,0.0015,85.9,86.36,0.001,0.0014,0.0015,89.83,12,708,0.00778,-,5.06026,-1.10113,1.12748,-
BTC-30DEC22-150000-C,0.0025,5.7,82.7,0.0025,0.0027,0.003,84.47,30.3,927.4,0.01456,-,8.73654,-1.7723,2.11112,-
BTC-30DEC22-20000-P,0.0505,13.3,73.69,0.0495,0.0508,0.0515,74.91,5.2,740.8,-0.1367,0.00001,51.82834,-9.39995,-33.28873,9
BTC-30DEC22-40000-C,0.103,10.1,61.46,0.099,0.101,0.102,62.51,2.5,430.4,0.39132,0.00003,90.89316,-13.75185,51.5477,11
BTC-30DEC22-32000-P,0.214,9,63.58,0.197,0.1992,0.201,64.95,28,110.8,-0.41603,0.00003,92.31936,-14.46,-109.22208,2
BTC-30DEC22-60000-C,0.0285,14,63.27,0.026,0.027,0.028,64.49,34.1,689.5,0.13529,0.00001,51.4612,-8.00336,19.22623,11.8
BTC-30DEC22-24000-P,0.0835,2.8,69.73,0.0855,0.0862,0.088,70.86,31.7,236.5,-0.21667,0.00002,69.46408,-11.84173,-53.75889,1.1
BTC-30DEC22-34000-P,0.283,33,61.4,0.2305,0.2367,0.2895,81.29,8,29.4,-0.4677,0.00003,94.10136,-14.54653,-125.04707,0.3
BTC-30DEC22-250000-P,-,-,-,-,6.9244,-,-,-,-,-0.99523,-,3.28395,-0.74953,-1405.95733,-
BTC-30DEC22-35000-C,0.135,21.3,62.34,0.145,0.1474,0.149,63.67,12.4,226.7,0.50713,0.00003,94.40369,-14.51313,63.85856,1
BTC-30DEC22-30000-C,0.2195,9,64.5,0.212,0.2136,0.216,65.92,0.7,526.7,0.63577,0.00002,88.88929,-14.07855,74.94869,-
BTC-30DEC22-80000-P,0.9715,-,-,-,1.5468,-,-,-,2.8,-0.93932,0.00001,28.44134,-4.75398,-441.34887,-
BTC-30DEC22-45000-C,0.071,11.4,61.4,0.0685,0.0699,0.071,62.36,10.4,871.9,0.2974,0.00002,81.95797,-12.36073,40.38235,13.5
BTC-30DEC22-38000-P,-,25,60.48,0.316,0.3218,0.709,200.13,0.1,-,-0.56464,0.00003,93.17655,-14.16656,-157.37322,-
BTC-30DEC22-150000-P,-,-,-,-,3.7568,-,-,-,-,-0.98544,-,8.73654,-1.7723,-841.8786,-
BTC-30DEC22-35000-P,0.251,33,45.32,0.2035,0.2567,0.31,81.02,8,98.3,-0.49287,0.00003,94.40369,-14.51313,-133.07238,-
BTC-30DEC22-90000-C,0.008,13,70.88,0.008,0.0081,0.009,72.26,30,1193.8,0.04458,0.00001,22.26569,-3.85229,6.47097,24.9
BTC-30DEC22-55000-P,0.8775,-,-,-,0.7794,1.1625,200.08,0.1,1.3,-0.82605,0.00002,60.77667,-9.32848,-285.00247,-
BTC-30DEC22-100000-P,1.49,-,-,-,2.1758,-,-,-,1.1,-0.96512,-,18.23782,-3.26798,-557.59417,-
BTC-30DEC22-120000-C,0.0045,15,77.41,0.004,0.0044,0.005,79.74,25,944,0.0238,-,13.27041,-2.52952,3.45027,11
