Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-30SEP22-24000-P,0.054,17.4,70.66,0.051,0.052,0.053,71.97,24.1,399.3,-0.19249,0.00002,47.99978,-14.96208,-24.01284,8.1
BTC-30SEP22-80000-C,0.003,11,75.2,0.003,0.0033,0.004,78.29,89.1,1790.6,0.02378,-,9.83424,-3.27863,2.00965,8.2
BTC-30SEP22-400000-C,0.0005,-,-,-,-,0.0005,142.35,3,331.3,0.00011,-,0.07903,-0.03927,0.00976,-
BTC-30SEP22-50000-C,0.0175,22.4,62.07,0.018,0.0187,0.0195,63.38,50.4,1481.1,0.12392,0.00002,35.90466,-9.8361,10.33818,6
BTC-30SEP22-60000-P,0.9,1,-,0.8,0.9231,1.02,133.81,1,154.4,-0.93853,0.00001,21.30291,-6.24271,-182.82349,11
BTC-30SEP22-300000-C,0.0005,-,-,-,0.0001,0.0005,128.8,3,200.2,0.00061,-,0.37746,-0.18755,0.05153,-
BTC-30SEP22-50000-P,0.6555,3,35.24,0.596,0.6137,0.6585,92.02,3,563.3,-0.87617,0.00002,35.88034,-9.82946,-146.34323,-
BTC-30SEP22-250000-C,0.001,-,-,-,0.0002,0.0005,120.03,3,1076.8,0.00132,-,0.7632,-0.37287,0.11022,-
BTC-30SEP22-120000-P,2.061,-,-,-,2.8298,-,-,-,1,-0.99275,-,3.52733,-1.37294,-375.40241,-
BTC-30SEP22-400000-P,-,5.1,-,0.0005,11.7624,-,-,-,-,-0.99989,-,0.07903,-0.03927,-1253.36923,-
BTC-30SEP22-120000-C,0.001,23.2,83.01,0.0005,0.001,0.002,95.69,126.8,802.5,0.00726,-,3.53064,-1.37423,0.61191,10
BTC-30SEP22-32000-P,0.185,14.4,62.07,0.15,0.1515,0.1535,63.65,41.2,74.2,-0.45353,0.00004,69.52956,-19.05299,-59.41539,1.2
BTC-30SEP22-200000-C,0.0005,-,-,-,0.0002,0.001,116.06,83.5,835.2,0.00159,-,0.90265,-0.40368,0.13393,11.9
BTC-30SEP22-40000-C,0.0535,8,60.01,0.0515,0.0521,0.0525,60.54,14.7,2324.3,0.2901,0.00003,60.07577,-15.84057,23.38039,122.2
BTC-30SEP22-20000-P,0.0315,48.3,77.95,0.027,0.0279,0.028,78.92,0.1,2838.1,-0.10758,0.00001,32.47146,-11.1845,-13.30422,148.1
BTC-30SEP22-100000-C,0.0005,6.1,82.14,0.0015,0.0017,0.002,84.94,7.9,1630.4,0.01193,-,5.45203,-1.98192,1.00766,-
BTC-30SEP22-300000-P,-,-,-,-,8.5719,-,-,-,-,-0.99939,-,0.37746,-0.18755,-939.98271,-
BTC-30SEP22-25000-C,0.23,8,48.99,0.2305,0.2627,0.291,86.41,8,84.5,0.78061,0.00002,51.87512,-15.83893,50.85972,1
BTC-30SEP22-10000-P,0.0045,71.8,106.79,0.0035,0.004,0.0045,111.56,35.4,172.3,-0.01482,-,6.57495,-3.13844,-1.8466,4.4
BTC-30SEP22-34000-C,0.0955,10.3,61.06,0.103,0.1042,0.105,61.95,9,184.1,0.47454,0.00004,69.85141,-18.79753,36.37987,1
BTC-30SEP22-28000-P,0.1095,49.7,65.4,0.0905,0.0919,0.093,66.67,11,524.2,-0.31198,0.00003,62.07814,-17.93798,-39.66898,4.2
BTC-30SEP22-32000-C,0.1335,10.9,61.98,0.129,0.1305,0.132,63.33,8,304.4,0.54647,0.00004,69.52956,-19.05299,40.85493,4
BTC-30SEP22-70000-C,0.0045,2.5,71.72,0.005,0.0049,0.0055,72.82,77.7,1892.8,0.03527,0.00001,13.64479,-4.26244,2.98469,1.2
BTC-30SEP22-35000-C,0.0975,4.8,60.76,0.092,0.0929,0.0935,61.44,3,513.9,0.44011,0.00004,69.21475,-18.50702,34.10587,2.5
BTC-30SEP22-350000-P,-,-,-,-,10.1672,-,-,-,-,-0.99974,-,0.16751,-0.08323,-1096.68497,-
BTC-30SEP22-90000-P,1.1645,1,-,0.3,1.8738,-,-,-,17.5,-0.98362,-,7.1665,-2.50271,-280.62589,-
BTC-30SEP22-250000-P,-,-,-,-,6.9767,-,-,-,-,-0.99868,-,0.7632,-0.37287,-783.25165,-
BTC-30SEP22-55000-C,0.012,12.5,64.33,0.012,0.0124,0.013,65.47,72.7,1295.9,0.08548,0.00001,27.42044,-7.76501,7.17962,2.1
BTC-30SEP22-34000-P,0.2105,9,60.31,0.186,0.1889,0.194,63.9,9,67.1,-0.52528,0.00004,69.86454,-18.80113,-70.13934,-
BTC-30SEP22-25000-P,0.0585,16,69.31,0.0595,0.0604,0.0615,70.52,20.2,1691.5,-0.21951,0.00002,51.88318,-15.8414,-27.48825,431.8
BTC-30SEP22-26000-P,0.0825,24,67.77,0.0685,0.0697,0.071,69.18,22.5,413.6,-0.2485,0.00003,55.57544,-16.63773,-31.25634,2.7
BTC-30SEP22-100000-P,1,-,-,-,2.1923,-,-,-,1,-0.98807,-,5.45203,-1.98192,-312.33709,-
BTC-30SEP22-36000-C,0.0675,14.9,60.3,0.0815,0.0828,0.0835,61.22,12.5,75.3,0.40663,0.00004,68.0681,-18.11266,31.80954,0.2
BTC-30SEP22-20000-C,0.365,8,51.79,0.368,0.3898,0.4015,89.38,8,40.9,0.89242,0.00001,32.47146,-11.1845,49.36473,-
BTC-30SEP22-30000-P,0.1135,21.8,63.47,0.1175,0.119,0.12,64.64,9,1865.8,-0.38135,0.00003,66.88583,-18.75552,-49.14253,6.4
BTC-30SEP22-65000-P,0.664,-,-,-,1.0803,-,-,-,2.2,-0.95434,0.00001,16.8286,-5.09208,-199.81435,-
