Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-1JUL22-45000-P,-,-,-,-,0.5351,-,-,-,-,-0.9881,0.00001,2.12994,-4.13437,-24.50657,-
BTC-1JUL22-40000-C,0.0015,93,62.11,0.001,0.0015,0.002,69.15,60.7,347,0.02628,0.00001,4.18609,-6.87164,0.39931,152
BTC-1JUL22-29000-C,0.066,2,65.44,0.0665,0.0672,0.068,67.06,39.7,15.7,0.55964,0.00009,27.0974,-44.75704,7.92367,9
BTC-1JUL22-15000-C,-,-,-,-,0.4893,-,-,-,-,0.99306,-,1.32769,-4.09814,8.10575,-
BTC-1JUL22-20000-P,0.004,54.8,93.94,0.003,0.0035,0.004,99.39,73.1,356.7,-0.03552,0.00001,5.37245,-12.95781,-0.62725,136.8
BTC-1JUL22-23000-C,-,-,-,-,0.2247,-,-,-,-,0.90941,0.00003,11.20917,-23.44112,11.01594,-
BTC-1JUL22-26000-P,0.0225,3.4,73.32,0.023,0.0233,0.024,74.77,27.4,120.7,-0.21667,0.00006,20.16157,-37.13941,-3.86113,122.4
BTC-1JUL22-24000-P,0.013,4.2,79.36,0.012,0.0123,0.0125,80.41,5.8,13.6,-0.12237,0.00004,13.93145,-27.84262,-2.16703,17.4
BTC-1JUL22-27000-C,-,-,-,-,0.111,0.2205,200.31,0.1,-,0.71922,0.00007,23.15472,-41.04857,9.78549,-
BTC-1JUL22-28000-C,-,3.4,66.54,0.086,0.0876,0.089,69.97,2.6,-,0.6441,0.00008,25.59639,-43.69677,8.95368,-
BTC-1JUL22-24000-C,-,-,-,-,0.194,-,-,-,-,0.87763,0.00004,13.93145,-27.84262,10.99918,-
BTC-1JUL22-20000-C,-,-,-,-,0.3215,-,-,-,-,0.96448,0.00001,5.37245,-12.95781,10.34459,-
BTC-1JUL22-21000-C,-,-,-,-,0.2888,-,-,-,-,0.95078,0.00002,6.99594,-16.13155,10.65097,-
BTC-1JUL22-45000-C,0.0005,-,-,-,0.0007,0.001,81.3,71.1,180,0.0119,0.00001,2.12994,-4.13437,0.18008,41.6
BTC-1JUL22-21000-P,0.0045,42.3,90.96,0.0045,0.0048,0.005,93.08,19.4,1,-0.04922,0.00002,6.99594,-16.13155,-0.86947,1
BTC-1JUL22-34000-C,0.0115,51.5,60.19,0.0115,0.0121,0.0125,61.89,13.8,100.6,0.16839,0.00006,17.27724,-26.37955,2.51528,33.3
BTC-1JUL22-29000-P,0.0615,34,65.1,0.055,0.056,0.0565,66.72,6.7,141.4,-0.44036,0.00009,27.0974,-44.75704,-7.9855,36.7
BTC-1JUL22-26000-C,-,-,-,-,0.1368,0.2375,200.55,0.1,-,0.78333,0.00006,20.16157,-37.13941,10.40227,-
BTC-1JUL22-35000-P,-,-,-,-,0.2018,0.314,200.23,0.1,-,-0.87554,0.00005,14.09762,-21.68986,-17.33319,-
BTC-1JUL22-33000-C,0.018,39.2,60.45,0.017,0.0176,0.018,61.87,12.7,89.3,0.22644,0.00007,20.67608,-31.62039,3.36076,28.2
BTC-1JUL22-32000-P,0.102,-,-,-,0.1164,0.2425,200.05,0.1,0.1,-0.7023,0.00008,23.80031,-36.67218,-13.17218,0.1
BTC-1JUL22-40000-P,-,-,-,-,0.3653,-,-,-,-,-0.97372,0.00001,4.18609,-6.87164,-21.54437,-
BTC-1JUL22-31000-P,0.0805,1.9,60.52,0.091,0.0928,0.095,65,2.8,2.6,-0.61981,0.00009,26.15893,-40.87749,-11.46576,2.6
BTC-1JUL22-33000-P,-,-,-,-,0.1428,0.2655,200.04,0.1,-,-0.77356,0.00007,20.67608,-31.62039,-14.74278,-
BTC-1JUL22-30000-P,0.0705,12.2,62.85,0.0715,0.0727,0.074,65.53,19.6,35.5,-0.53013,0.00009,27.32602,-43.78354,-9.69945,31.6
BTC-1JUL22-35000-C,0.008,35,60.81,0.008,0.0084,0.0085,61.86,9.2,27,0.12446,0.00005,14.09762,-21.68986,1.86753,12.3
BTC-1JUL22-32000-C,0.026,44.5,60.73,0.0245,0.0253,0.026,62.58,38.2,67.1,0.2977,0.00008,23.80031,-36.67218,4.38276,34.2
BTC-1JUL22-31000-C,0.037,57.8,61.66,0.035,0.0358,0.0365,63.34,15.6,73.4,0.38019,0.00009,26.15893,-40.87749,5.54059,69.8
BTC-1JUL22-22000-C,-,-,-,-,0.2563,-,-,-,-,0.93374,0.00002,8.84057,-19.33197,10.8989,-
BTC-1JUL22-30000-C,0.0485,29,63.29,0.049,0.0498,0.0505,64.9,5.1,38.6,0.46987,0.00009,27.32602,-43.78354,6.75831,25
BTC-1JUL22-28000-P,0.045,35.2,67.43,0.0415,0.0423,0.043,69.15,22.7,132.2,-0.3559,0.00008,25.59639,-43.69677,-6.4069,33.1
BTC-1JUL22-50000-P,0.6625,-,-,-,0.7051,-,-,-,0.2,-0.99607,-,0.80013,-1.65165,-27.37003,0.2
BTC-1JUL22-50000-C,0.0005,-,-,-,0.0002,0.001,97.79,124.2,44.5,0.00393,-,0.80013,-1.65165,0.05957,-
BTC-1JUL22-22000-P,0.0065,43.2,86,0.006,0.0065,0.007,89.31,29.5,153.5,-0.06626,0.00002,8.84057,-19.33197,-1.17013,4
BTC-1JUL22-27000-P,0.0355,33.9,70.19,0.031,0.0316,0.032,71.46,4.5,153.4,-0.28078,0.00007,23.15472,-41.04857,-5.0265,54
BTC-1JUL22-25000-P,0.0175,34.1,75.9,0.0165,0.017,0.0175,77.63,24.3,19.9,-0.16388,0.00005,16.97632,-32.5119,-2.90948,24.4
BTC-1JUL22-34000-P,-,-,-,-,0.1714,0.2895,200.26,0.1,-,-0.83161,0.00006,17.27724,-26.37955,-16.13685,-
BTC-1JUL22-23000-P,0.0095,41,82.53,0.0085,0.009,0.0095,85.14,60.5,9.6,-0.09059,0.00003,11.20917,-23.44112,-1.60167,7.7
BTC-1JUL22-25000-C,-,-,-,-,0.1645,0.2555,200.67,0.1,-,0.83612,0.00005,16.97632,-32.5119,10.80532,-
BTC-1JUL22-15000-P,0.001,25,118.19,0.0005,0.0007,0.001,129.16,58,63,-0.00694,-,1.32769,-4.09814,-0.12313,63
