Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-31MAR23-26000-C,0.34,-,-,-,0.2974,0.6565,200.19,0.1,18,0.70603,0.00002,92.70994,-10.80118,98.54596,-
BTC-31MAR23-28000-P,0.197,14,65.92,0.192,0.1958,0.1985,67.9,14,33.1,-0.33821,0.00002,98.41295,-11.26329,-128.76619,1.8
BTC-31MAR23-32000-P,0.2285,0.3,62.84,0.263,0.2729,0.287,69.67,0.1,4.6,-0.42605,0.00002,105.51829,-11.81855,-168.53566,-
BTC-31MAR23-34000-C,0.204,14,64.27,0.181,0.1837,0.1865,65.82,14,27.9,0.53131,0.00002,107.03737,-11.87542,83.83259,0.3
BTC-31MAR23-250000-C,0.002,100,84.13,0.0015,0.0022,0.003,90.29,27,26.9,0.01013,-,7.25491,-1.0795,1.92387,-
BTC-31MAR23-70000-C,0.0285,18,64.37,0.027,0.0287,0.0305,66.28,18,720.7,0.12441,0.00001,55.21901,-6.15374,23.08006,0.2
BTC-31MAR23-150000-P,-,-,-,-,3.9985,-,-,-,-,-0.97757,-,14.35733,-1.87242,-1199.91476,-
BTC-31MAR23-55000-C,0.058,16,63.57,0.0555,0.0573,0.0595,65.06,16,70.3,0.22261,0.00002,80.2283,-8.79247,39.87442,-
BTC-31MAR23-25000-C,0.317,-,-,-,0.3155,0.6635,200.19,0.1,23,0.72775,0.00002,89.35619,-10.51397,99.40437,1
BTC-31MAR23-36000-P,-,-,-,-,0.3614,0.794,199.93,0.1,-,-0.50937,0.00002,107.3387,-11.83101,-209.96461,-
BTC-31MAR23-30000-C,0.2325,14,65.71,0.232,0.2345,0.2375,67.32,14,177,0.61784,0.00002,102.65042,-11.63964,92.42623,5
BTC-31MAR23-65000-C,0.035,17,64.1,0.034,0.0355,0.0375,65.77,17,46,0.14955,0.00001,62.62484,-6.92831,27.49613,7
BTC-31MAR23-250000-P,-,-,-,-,7.3252,-,-,-,-,-0.98987,-,7.25504,-1.07952,-2005.08713,-
BTC-31MAR23-38000-C,0.1445,14,63.57,0.142,0.1443,0.1445,64.27,1.5,69.3,0.45188,0.00002,106.58634,-11.68066,74.16244,5
BTC-31MAR23-20000-C,0.4435,5.1,-,0.0005,0.4184,0.702,200.18,0.1,-,0.82874,0.00001,68.42829,-8.51374,98.95954,-
BTC-31MAR23-100000-C,0.011,22,67.71,0.0095,0.0109,0.0125,70.86,21,847.5,0.05183,0.00001,28.56246,-3.37624,9.86324,37
BTC-31MAR23-65000-P,-,-,-,-,1.1995,1.6435,200.04,0.1,-,-0.85045,0.00001,62.62484,-6.92831,-494.32674,-
BTC-31MAR23-120000-P,-,-,-,-,3.0025,-,-,-,-,-0.96453,-,21.02295,-2.60231,-956.59594,-
BTC-31MAR23-40000-C,0.128,14,63.49,0.1265,0.1288,0.1315,64.92,14,130.7,0.41642,0.00002,105.0031,-11.49219,69.36304,23.8
BTC-31MAR23-140000-C,0.0065,23,72.49,0.004,0.0054,0.007,78.04,23,121.7,0.02586,-,16.17942,-2.07767,4.94395,-
BTC-31MAR23-120000-C,0.008,22,70.41,0.006,0.0074,0.009,74.69,22,383.3,0.03547,-,21.02329,-2.60235,6.76948,0.3
BTC-31MAR23-45000-C,0.097,15,63.34,0.095,0.0971,0.0995,64.71,15,144.2,0.33781,0.00002,98.36826,-10.73974,58.04162,19.5
BTC-31MAR23-40000-P,0.4484,-,-,-,0.4605,0.82,169.79,77,93.9,-0.58358,0.00002,105.0031,-11.49219,-251.75872,8
BTC-31MAR23-36000-C,0.1648,14,63.94,0.1605,0.1628,0.1655,65.34,14,10.2,0.49063,0.00002,107.3387,-11.83101,79.04498,2
BTC-31MAR23-30000-P,0.2155,0.4,59.95,0.211,0.2333,0.251,71.65,0.1,312.8,-0.38217,0.00002,102.6502,-11.63962,-148.41577,0.4
BTC-31MAR23-150000-C,0.0055,24.1,73.83,0.0035,0.0046,0.006,79.05,24.3,420,0.02243,-,14.35733,-1.87242,4.29186,-
BTC-31MAR23-50000-C,0.075,15,63.33,0.072,0.0741,0.076,64.67,0.1,1160.4,0.2739,0.00002,89.62505,-9.79495,48.17403,20.7
BTC-31MAR23-22000-P,0.1075,15,70.15,0.1045,0.1072,0.1095,72.08,15,26.2,-0.2098,0.00002,77.52023,-9.41657,-76.43767,1
BTC-31MAR23-300000-P,-,5,-,0.0005,8.9893,-,-,-,-,-0.99242,-,5.62829,-0.8703,-2406.97542,-
BTC-31MAR23-28000-C,0.2595,0.1,32.81,0.15,0.2636,0.643,200.15,0.1,7.2,0.66179,0.00002,98.41295,-11.26329,96.01905,1
BTC-31MAR23-10000-P,0.015,22,86.64,0.015,0.0165,0.018,90.74,22,93.8,-0.03744,-,21.97524,-3.32627,-13.00289,-
BTC-31MAR23-70000-P,0.671,-,-,-,1.3592,1.7955,200.14,0.1,9.1,-0.87559,0.00001,55.21901,-6.15374,-538.88303,-
BTC-31MAR23-34000-P,-,-,-,-,0.3156,0.65,167.27,1,-,-0.46869,0.00002,107.03737,-11.87542,-189.12091,-
BTC-31MAR23-10000-C,-,-,-,-,0.6836,-,-,-,-,0.96256,-,21.97513,-3.32625,67.27766,-
BTC-31MAR23-80000-C,0.0185,19,65.3,0.018,0.0197,0.0215,67.72,19,1497.2,0.08911,0.00001,43.38296,-4.92246,16.74031,21
