Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
ETH-26AUG22-3200-C,0.0105,61,82.55,0.009,0.0095,0.01,84.27,99,1658,0.06577,0.0002,0.97834,-0.53718,0.19623,100
ETH-26AUG22-1200-C,-,-,-,-,0.3307,0.4625,200.21,1,-,0.83669,0.00034,1.88531,-1.19002,1.76556,-
ETH-26AUG22-2600-C,0.0225,355,77.6,0.0225,0.0231,0.0235,78.56,62,14115,0.1459,0.00038,1.74999,-0.89934,0.42866,142
ETH-26AUG22-1900-P,0.227,2,73.54,0.219,0.228,0.4465,200.4,1,384,-0.56814,0.00065,3.00567,-1.55308,-2.77796,19
ETH-26AUG22-3000-C,0.0125,23,80.98,0.012,0.0125,0.013,82.4,86,6301,0.08461,0.00025,1.18566,-0.63761,0.25145,126
ETH-26AUG22-2200-C,0.051,314,76.6,0.0495,0.0498,0.0505,77.26,276,1290,0.27371,0.00057,2.54532,-1.28622,0.78116,202
ETH-26AUG22-800-P,0.013,465,115.58,0.013,0.0134,0.014,117.74,70,897,-0.0489,0.00011,0.77467,-0.59386,-0.21755,55
ETH-26AUG22-2800-P,-,-,-,-,0.6878,0.872,200.33,1,-,-0.89098,0.00031,1.42852,-0.74809,-5.50888,-
ETH-26AUG22-1200-P,0.047,68,95.56,0.0465,0.047,0.0475,96.44,74,2494,-0.16331,0.00034,1.88531,-1.19002,-0.73371,1560
ETH-26AUG22-1600-C,-,20,83.06,0.1705,0.1718,0.1725,84.21,94,-,0.62232,0.00059,2.90574,-1.6014,1.57213,-
ETH-26AUG22-1000-P,0.0255,135,104.22,0.0255,0.0263,0.027,106.18,198,1621,-0.09437,0.00021,1.28601,-0.89048,-0.42109,15
ETH-26AUG22-2000-P,0.2725,1,-,0.155,0.2697,0.49,200.24,1,486,-0.62658,0.00064,2.89543,-1.4783,-3.12749,1
ETH-26AUG22-2200-P,0.306,-,-,-,0.363,0.581,200.45,1,12,-0.72629,0.00057,2.54532,-1.28622,-3.80084,-
ETH-26AUG22-3400-P,-,-,-,-,1.0369,-,-,-,-,-0.9474,0.00016,0.82096,-0.46133,-6.92399,-
ETH-26AUG22-2100-P,0.198,-,-,-,0.3149,0.5355,200.62,1,109,-0.67957,0.00061,2.7358,-1.38662,-3.46999,-
ETH-26AUG22-1800-C,0.119,61,79.51,0.115,0.1156,0.1165,80.33,106,687,0.49414,0.00065,3.04995,-1.60171,1.32078,321
ETH-26AUG22-3400-C,0.008,53,84.35,0.007,0.0075,0.008,86.39,97,1695,0.0526,0.00016,0.82096,-0.46133,0.15728,11
ETH-26AUG22-4000-C,0.0045,670,88.83,0.0035,0.004,0.0045,92.17,26,2208,0.02878,0.00009,0.50255,-0.29933,0.08646,4
ETH-26AUG22-2400-C,0.0335,333,76.83,0.033,0.0334,0.034,77.61,392,6440,0.19912,0.00047,2.13491,-1.08337,0.57823,320
ETH-26AUG22-2300-C,0.0405,358,76.4,0.04,0.0406,0.041,77.12,121,1550,0.23331,0.00052,2.34023,-1.18304,0.67231,384
ETH-26AUG22-5000-P,-,-,-,-,1.9864,-,-,-,-,-0.98585,0.00005,0.27543,-0.17943,-10.37109,-
ETH-26AUG22-2300-P,0.2635,-,-,-,0.4135,0.6275,200.35,1,-,-0.76669,0.00052,2.34023,-1.18304,-4.11796,-
ETH-26AUG22-5000-C,0.0025,562,95.95,0.0015,0.002,0.0025,102.03,65,2329,0.01415,0.00005,0.27543,-0.17943,0.04253,-
ETH-26AUG22-1400-C,-,-,-,-,0.2442,0.411,200.05,1,-,0.74042,0.00048,2.47799,-1.45386,1.73166,-
ETH-26AUG22-800-C,-,-,-,-,0.5359,-,-,-,-,0.9511,0.00011,0.77467,-0.59386,1.44863,-
ETH-26AUG22-1700-C,0.1715,329,81.01,0.1405,0.1415,0.1425,82.12,97,114,0.55838,0.00063,3.01756,-1.61844,1.45479,-
ETH-26AUG22-1600-P,0.1265,50,83.34,0.126,0.1268,0.128,84.49,163,630,-0.37768,0.00059,2.90574,-1.6014,-1.76023,274
ETH-26AUG22-1800-P,0.19,-,-,-,0.19,0.404,200.47,1,686,-0.50586,0.00065,3.04995,-1.60171,-2.42812,44
ETH-26AUG22-1500-C,-,-,-,-,0.2061,0.3885,200.28,1,-,0.68354,0.00054,2.72147,-1.54587,1.66598,-
ETH-26AUG22-2100-C,0.063,349,76.8,0.061,0.0614,0.062,77.41,190,922,0.32043,0.00061,2.7358,-1.38662,0.90373,364
ETH-26AUG22-2000-C,0.0775,337,77.36,0.0755,0.076,0.0765,77.94,168,954,0.37342,0.00064,2.89543,-1.4783,1.03796,195
ETH-26AUG22-1000-C,-,-,-,-,0.4294,-,-,-,-,0.90563,0.00021,1.28601,-0.89048,1.66163,-
ETH-26AUG22-1500-P,0.102,59,85.8,0.1005,0.1014,0.102,86.72,115,4064,-0.31646,0.00054,2.72147,-1.54587,-1.4581,1571
ETH-26AUG22-2600-P,-,-,-,-,0.5749,0.66,137.23,1,-,-0.8541,0.00038,1.74999,-0.89934,-4.98642,-
ETH-26AUG22-2400-P,-,-,-,-,0.4659,0.6745,200.07,1,-,-0.80088,0.00047,2.13491,-1.08337,-4.42031,-
ETH-26AUG22-3200-P,-,-,-,-,0.9195,-,-,-,-,-0.93423,0.0002,0.97834,-0.53718,-6.46849,-
ETH-26AUG22-1900-C,0.0925,57,78.33,0.0935,0.0939,0.0945,78.89,96,1008,0.43186,0.00065,3.00567,-1.55308,1.17922,1671
ETH-26AUG22-3000-P,-,-,-,-,0.8032,-,-,-,-,-0.91539,0.00025,1.18566,-0.63761,-5.99672,-
ETH-26AUG22-4000-P,-,-,-,-,1.3915,-,-,-,-,-0.97122,0.00009,0.50255,-0.29933,-8.24444,-
