Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
ETH-29JUL22-3000-C,0.0055,80,86.41,0.005,0.0055,0.006,89.24,558,6087,0.04679,0.00018,0.59272,-0.54246,0.09074,36
ETH-29JUL22-1200-P,0.031,485,99.52,0.0295,0.0303,0.031,101.4,481,5436,-0.1379,0.00036,1.33494,-1.39739,-0.36969,1178
ETH-29JUL22-2100-C,0.0385,359,76.83,0.036,0.0369,0.0375,78.13,150,4171,0.25077,0.00068,1.92879,-1.55808,0.47016,1274
ETH-29JUL22-2500-C,0.0135,377,79.65,0.013,0.0135,0.0135,80.4,2,25410,0.1079,0.00038,1.12379,-0.93991,0.2076,907
ETH-29JUL22-1700-C,0.111,370,81.87,0.1105,0.1109,0.112,82.91,277,922,0.53612,0.0008,2.40758,-2.06007,0.93453,808
ETH-29JUL22-7000-C,0.0005,-,-,-,0.0001,0.0005,135.4,30,2066,0.00125,0.00001,0.02498,-0.03167,0.00244,-
ETH-29JUL22-5000-P,-,-,-,-,1.9935,-,-,-,-,-0.99374,0.00003,0.10691,-0.12459,-6.56586,-
ETH-29JUL22-2600-C,0.0125,500,80.95,0.0105,0.0113,0.012,83.48,915,7479,0.09136,0.00033,0.99508,-0.8527,0.176,5183
ETH-29JUL22-1800-P,0.1615,24,77.27,0.1585,0.1627,0.1665,82.83,23,7554,-0.54411,0.00082,2.4027,-2.00671,-1.5536,2810
ETH-29JUL22-1400-C,-,-,-,-,0.2187,0.349,200.35,1,-,0.75759,0.00056,1.89409,-1.80447,1.18445,-
ETH-29JUL22-1700-P,0.1275,28,81.84,0.128,0.1285,0.1295,82.88,175,2248,-0.46389,0.0008,2.40757,-2.06007,-1.30201,1818
ETH-29JUL22-2400-P,0.359,1,-,0.04,0.4535,0.604,200.67,1,4332,-0.86781,0.00045,1.2968,-1.07037,-2.90416,2
