Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
ETH-30DEC22-8000-P,2.2,-,-,-,3.7168,-,-,-,20,-0.9672,0.00006,0.92582,-0.21752,-44.0379,-
ETH-30DEC22-800-P,0.038,389,97.54,0.037,0.0374,0.038,98.43,31,2458,-0.08106,0.00012,1.89755,-0.45981,-1.11387,266
ETH-30DEC22-20000-P,4.9725,-,-,-,10.7753,-,-,-,3,-0.99299,0.00001,0.24666,-0.07016,-110.64424,-
ETH-30DEC22-2500-P,0.571,-,-,-,0.581,0.6,86.6,1,11462,-0.63793,0.00037,4.73716,-0.93676,-11.46072,1
ETH-30DEC22-2600-P,-,-,-,-,0.6303,0.976,200.29,1,-,-0.66241,0.00036,4.61782,-0.91306,-12.15358,-
ETH-30DEC22-1700-C,0.267,37,82.41,0.2405,0.2413,0.243,83.29,80,68,0.62033,0.00036,4.81046,-0.98465,3.56315,1
ETH-30DEC22-1500-P,0.1775,56,83.85,0.1765,0.1778,0.179,84.81,56,10535,-0.30433,0.00033,4.4223,-0.92333,-4.53318,83
ETH-30DEC22-2800-C,0.0885,55,79.47,0.082,0.0834,0.0845,80.44,68,1051,0.29386,0.00034,4.35251,-0.86179,1.97906,5
ETH-30DEC22-1600-P,0.2065,57,82.83,0.207,0.2082,0.2095,83.74,14,3318,-0.34224,0.00035,4.64205,-0.95679,-5.17536,13
ETH-30DEC22-4000-P,1.319,1,-,1.259,1.3885,1.581,159.21,1,268,-0.86173,0.00021,2.78901,-0.56964,-21.15674,-
ETH-30DEC22-30000-C,0.0005,-,-,-,0.0007,0.0015,129.5,420,737,0.0032,0.00001,0.12239,-0.03678,0.0235,-
ETH-30DEC22-2600-C,0.1005,27,79.46,0.0985,0.0997,0.1005,80.19,53,1079,0.33759,0.00036,4.61782,-0.91306,2.23684,14
ETH-30DEC22-1200-P,0.103,54,87.82,0.1005,0.1016,0.103,89.04,61,1459,-0.19563,0.00025,3.49103,-0.76341,-2.79438,210
ETH-30DEC22-1000-C,0.48,100,-,0.0585,0.4758,0.659,200.09,1,479,0.86746,0.00018,2.70931,-0.61957,3.68245,350
ETH-30DEC22-1700-P,0.242,73,81.77,0.2395,0.2421,0.2435,83.19,41,656,-0.37967,0.00036,4.81046,-0.98465,-5.84597,52
ETH-30DEC22-15000-P,-,-,-,-,7.8326,-,-,-,-,-0.98951,0.00002,0.35122,-0.09391,-82.94455,-
ETH-30DEC22-1300-C,-,-,-,-,0.359,0.6035,200.22,1,-,0.76947,0.00028,3.8423,-0.82541,3.85948,-
ETH-30DEC22-2400-P,0.4405,1,-,0.062,0.5328,0.8765,200.17,1,186,-0.61185,0.00038,4.84209,-0.95763,-10.76228,-
ETH-30DEC22-5000-C,0.0195,30,84.75,0.0185,0.019,0.0195,85.64,20,25031,0.08296,0.00014,1.93087,-0.40733,0.6009,1381
ETH-30DEC22-2200-P,0.331,-,-,-,0.4406,0.779,200.18,1,655,-0.55388,0.00039,4.99553,-0.99111,-9.34994,-
ETH-30DEC22-4500-C,0.024,340,82.8,0.0235,0.0245,0.0255,84.28,80,36577,0.1045,0.00017,2.29,-0.47361,0.75197,837
ETH-30DEC22-7000-P,1.481,-,-,-,3.1298,-,-,-,68,-0.95906,0.00008,1.10965,-0.25129,-38.44332,-
