Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
ETH-30SEP22-3400-C,0.0175,26,83.39,0.0175,0.0181,0.0185,84.43,211,1705,0.0987,0.00022,1.61181,-0.6096,0.41238,39
ETH-30SEP22-2600-C,0.0445,340,78.12,0.043,0.0438,0.0445,79.05,269,1304,0.21514,0.0004,2.7103,-0.95965,0.87622,7
ETH-30SEP22-2800-P,-,-,-,-,0.6991,0.943,200.33,1,-,-0.82742,0.00035,2.36908,-0.84832,-7.80621,-
ETH-30SEP22-8000-P,1.292,1,-,0.01,3.7606,-,-,-,138,-0.98736,0.00003,0.30284,-0.15165,-24.27991,-
ETH-30SEP22-30000-P,7.733,-,-,-,16.8439,-,-,-,14,-0.99979,-,0.00721,-0.00435,-91.24797,-
ETH-30SEP22-1000-P,0.0375,68,99.42,0.038,0.0381,0.0385,99.9,17,43261,-0.11107,0.00021,1.75562,-0.78704,-0.76291,3399
ETH-30SEP22-4000-C,0.012,10,88.26,0.011,0.0114,0.0115,88.99,20,75006,0.06366,0.00015,1.15673,-0.46264,0.26736,603
ETH-30SEP22-1700-P,0.1655,220,81.3,0.184,0.1854,0.1865,82.46,78,1652,-0.4202,0.00051,3.62485,-1.33748,-3.0967,30
ETH-30SEP22-7000-C,0.004,34,107,0.003,0.0033,0.0035,109.04,31,7495,0.01807,0.00004,0.41191,-0.20048,0.07578,500
ETH-30SEP22-20000-C,0.0005,-,-,-,0.0002,0.001,149.52,623,1818,0.00142,-,0.04312,-0.026,0.006,-
ETH-30SEP22-2400-C,0.0605,29,77.97,0.058,0.0583,0.059,78.52,260,3110,0.27068,0.00046,3.0697,-1.07995,1.08626,534
ETH-30SEP22-2500-P,0.52,100,-,0.088,0.5374,0.74,175.34,10,13050,-0.75879,0.00043,2.89043,-1.01967,-6.62837,2
ETH-30SEP22-1800-C,0.15,57,80.42,0.1485,0.149,0.15,81.11,132,1401,0.52752,0.00053,3.69031,-1.34065,1.9355,180
ETH-30SEP22-1000-C,0.455,10,-,0.0005,0.4433,0.5685,200.06,1,981,0.88893,0.00021,1.75562,-0.78704,2.27872,981
ETH-30SEP22-3400-P,-,-,-,-,1.0404,-,-,-,-,-0.9013,0.00022,1.61178,-0.60959,-9.92917,-
ETH-30SEP22-1200-C,-,-,-,-,0.3512,0.517,200.16,1,-,0.81986,0.00031,2.43427,-1.01731,2.39636,-
ETH-30SEP22-20000-P,-,1,-,0.01,10.8962,-,-,-,-,-0.99858,-,0.04312,-0.026,-60.82657,-
ETH-30SEP22-15000-P,3.367,-,-,-,7.9228,-,-,-,1,-0.99528,0.00001,0.12742,-0.07681,-45.60488,-
ETH-30SEP22-35000-P,9.226,-,-,-,19.8179,-,-,-,43,-0.99983,-,0.00609,-0.00381,-106.45626,-
ETH-30SEP22-2200-C,0.079,276,77.92,0.0785,0.0789,0.0795,78.41,182,4361,0.34145,0.00051,3.40298,-1.1976,1.34235,965
ETH-30SEP22-1800-P,0.1965,39,32.25,0.114,0.2197,0.47,200.22,22,7741,-0.47249,0.00053,3.69029,-1.34065,-3.53946,28
ETH-30SEP22-1900-C,0.137,263,79.37,0.1265,0.1272,0.128,80.06,133,583,0.47665,0.00054,3.69276,-1.32533,1.78702,98
ETH-30SEP22-50000-P,13.781,25,-,0.0005,28.7398,-,-,-,10,-0.99996,-,0.00147,-0.00094,-152.08127,-
ETH-30SEP22-4500-P,1.486,-,-,-,1.6849,-,-,-,200,-0.95319,0.00011,0.90714,-0.3776,-13.49031,-
ETH-30SEP22-3600-C,0.0165,19,84.7,0.0145,0.015,0.0155,85.88,119,1447,0.0832,0.00019,1.4198,-0.54526,0.34884,87
ETH-30SEP22-3800-C,0.014,31,86.43,0.0125,0.013,0.0135,87.75,142,696,0.07266,0.00017,1.28109,-0.50283,0.30487,11
ETH-30SEP22-1200-P,0.0655,33,92.45,0.0645,0.065,0.0655,93.14,110,3004,-0.18014,0.00031,2.43427,-1.01731,-1.25359,97
ETH-30SEP22-2800-C,0.035,309,79.03,0.033,0.0337,0.0345,80.09,381,13561,0.17258,0.00035,2.36913,-0.84834,0.71036,7
ETH-30SEP22-4000-P,1.315,300,-,1.379,1.3906,1.55,190.06,1,2855,-0.93635,0.00015,1.1567,-0.46263,-11.89917,144
ETH-30SEP22-1700-C,0.1875,69,81.6,0.1735,0.1742,0.175,82.29,88,378,0.5798,0.00051,3.62486,-1.33749,2.0741,88
ETH-30SEP22-50000-C,0.0002,-,-,-,-,0.0005,183.13,50,1915,0.00004,-,0.00147,-0.00094,0.00016,-
ETH-30SEP22-15000-C,0.001,60,127.32,0.0005,0.0009,0.0015,140.3,824,5834,0.00472,0.00001,0.12742,-0.07681,0.01955,100
ETH-30SEP22-3800-P,-,-,-,-,1.2733,-,-,-,-,-0.92734,0.00017,1.28106,-0.50281,-11.25332,-
ETH-30SEP22-1900-P,0.2333,-,-,-,0.2573,0.5135,200.01,1,956,-0.52335,0.00054,3.69276,-1.32533,-3.99207,13
ETH-30SEP22-3000-C,0.028,333,80.25,0.026,0.0266,0.027,81.07,66,42141,0.14055,0.0003,2.06926,-0.75241,0.58274,909
ETH-30SEP22-5000-P,1.7885,-,-,-,1.9805,-,-,-,1471,-0.96325,0.00009,0.74573,-0.323,-15.0535,104
ETH-30SEP22-9000-C,0.002,21,112.96,0.0015,0.002,0.0025,119.32,575,7086,0.01078,0.00003,0.26393,-0.1381,0.04512,100
ETH-30SEP22-40000-P,10.8155,-,-,-,22.7918,-,-,-,31,-0.99988,-,0.00437,-0.00279,-121.66463,-
ETH-30SEP22-30000-C,0.0003,-,-,-,-,0.0005,160.1,50,1750,0.00021,-,0.00721,-0.00435,0.00089,-
ETH-30SEP22-25000-C,0.0005,-,-,-,0.0001,0.0005,151.66,57,1810,0.00051,-,0.01672,-0.01008,0.00217,-
ETH-30SEP22-1400-C,-,-,-,-,0.2705,0.4725,200.25,1,-,0.73258,0.00041,3.0511,-1.20253,2.36281,-
ETH-30SEP22-25000-P,-,-,-,-,13.87,-,-,-,-,-0.99949,-,0.01672,-0.01008,-76.03855,-
ETH-30SEP22-4500-C,0.0085,5,91.9,0.008,0.0083,0.0085,92.83,61,47756,0.04681,0.00011,0.90716,-0.37761,0.19703,376
ETH-30SEP22-6000-C,0.005,25,101.29,0.004,0.0045,0.005,104.39,631,25406,0.02511,0.00006,0.54384,-0.25202,0.10538,602
ETH-30SEP22-1500-C,0.277,-,-,-,0.235,0.452,200.02,1,26,0.68357,0.00045,3.30023,-1.26893,2.2937,-
ETH-30SEP22-3200-C,0.022,29,81.68,0.021,0.0216,0.022,82.61,63,846,0.11648,0.00026,1.81624,-0.6725,0.48534,2
ETH-30SEP22-6000-P,2.063,3,-,0.005,2.5733,-,-,-,361,-0.97489,0.00006,0.54385,-0.25203,-18.14439,-
ETH-30SEP22-40000-C,0.0005,-,-,-,-,0.0005,173.18,50,902,0.00012,-,0.00437,-0.00279,0.00052,-
ETH-30SEP22-2000-C,0.1105,71,78.76,0.108,0.1084,0.109,79.22,176,5413,0.42817,0.00054,3.63897,-1.29386,1.6352,1178
ETH-30SEP22-3600-P,-,-,-,-,1.1562,-,-,-,-,-0.9168,0.00019,1.41983,-0.54527,-10.60102,-
ETH-30SEP22-2500-C,0.051,295,78.09,0.05,0.0504,0.051,78.67,240,6256,0.24121,0.00043,2.89038,-1.01965,0.97568,110
ETH-30SEP22-2000-P,0.3,2,73.38,0.286,0.298,0.44,143.84,22,11421,-0.57182,0.00054,3.639,-1.29387,-4.44803,78
ETH-30SEP22-5000-C,0.0065,203,94.99,0.006,0.0065,0.007,97.25,73,52440,0.03675,0.00009,0.74575,-0.32301,0.15465,118
ETH-30SEP22-1600-C,0.2045,19,83.08,0.202,0.2029,0.2035,83.8,78,1,0.63224,0.00049,3.49395,-1.31374,2.19579,1
ETH-30SEP22-9000-P,2.045,-,-,-,4.3551,-,-,-,12,-0.98922,0.00003,0.26393,-0.1381,-27.32954,-
ETH-30SEP22-2200-P,0.305,1,-,0.129,0.3875,0.6505,200.05,1,2481,-0.65855,0.00051,3.40298,-1.1976,-5.34923,-
ETH-30SEP22-8000-C,0.003,31,109.75,0.002,0.0022,0.0025,112.53,36,6094,0.01263,0.00003,0.30284,-0.15165,0.05311,130
ETH-30SEP22-35000-C,0.0005,-,-,-,-,0.0005,167.14,50,410,0.00017,-,0.00609,-0.00381,0.00074,-
ETH-30SEP22-3200-P,0.84,-,-,-,0.9249,1.147,200.18,1,-,-0.88352,0.00026,1.81624,-0.6725,-9.24787,-
ETH-30SEP22-3000-P,0.75,30,-,0.257,0.811,1.044,200.17,1,6893,-0.85945,0.0003,2.06926,-0.75241,-8.54215,76
ETH-30SEP22-2100-C,0.0925,255,78.24,0.092,0.0924,0.093,78.71,218,120,0.38286,0.00052,3.53847,-1.24973,1.4854,176
ETH-30SEP22-2600-P,-,-,-,-,0.5903,0.7,134.74,1,-,-0.78486,0.0004,2.7103,-0.95965,-7.03202,-
ETH-30SEP22-3500-P,0.836,-,-,-,1.0983,-,-,-,4082,-0.90897,0.00021,1.51846,-0.57976,-10.26488,-
ETH-30SEP22-1400-P,0.103,74,87.11,0.1025,0.1032,0.104,87.93,243,2818,-0.26742,0.00041,3.0511,-1.20252,-1.89545,69
ETH-30SEP22-1500-P,0.1275,33,85,0.1265,0.1272,0.128,85.77,120,13208,-0.31643,0.00045,3.30023,-1.26893,-2.26875,112
ETH-30SEP22-1600-P,0.1535,39,83.23,0.154,0.1545,0.1555,83.96,124,1309,-0.36776,0.00049,3.49395,-1.31374,-2.67082,45
ETH-30SEP22-7000-P,2.875,-,-,-,3.1668,-,-,-,376,-0.98193,0.00004,0.41191,-0.20048,-21.21562,-
ETH-30SEP22-2400-P,0.4,-,-,-,0.4858,0.746,200.31,1,2224,-0.72932,0.00046,3.0697,-1.07995,-6.21365,-
ETH-30SEP22-3500-C,0.0165,29,84.15,0.016,0.0166,0.017,85.26,206,61496,0.09103,0.00021,1.51846,-0.57976,0.38082,721
ETH-30SEP22-10000-P,2.223,-,-,-,4.9494,-,-,-,180,-0.99198,0.00002,0.20375,-0.10851,-30.38263,-
ETH-30SEP22-2100-P,0.2385,-,-,-,0.3415,0.604,200.02,1,523,-0.61714,0.00052,3.53847,-1.24973,-4.90202,-
ETH-30SEP22-10000-C,0.002,2333,114.1,0.001,0.0014,0.002,122.32,402,47534,0.00802,0.00002,0.20374,-0.10851,0.03365,47
