Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
ETH-31MAR23-2800-C,0.1295,174,78.37,0.124,0.1266,0.129,79.85,174,740,0.36763,0.00031,5.78446,-0.78107,3.31587,5
ETH-31MAR23-600-P,0.026,240,97.89,0.0275,0.0292,0.031,101.54,240,1417,-0.05245,0.00007,1.64493,-0.27978,-1.12317,-
ETH-31MAR23-2600-C,0.1485,172,78.49,0.143,0.1455,0.148,79.93,172,2030,0.40795,0.00032,5.96102,-0.80559,3.61067,61
ETH-31MAR23-25000-C,0.002,340,92.81,0.0005,0.0013,0.003,108.69,350,544,0.00591,0.00001,0.25746,-0.04426,0.06275,1
ETH-31MAR23-4000-C,0.06,5,79.62,0.06,0.061,0.062,80.4,193,17733,0.20499,0.00023,4.36199,-0.59562,1.98036,425
ETH-31MAR23-10000-P,1.9335,100,-,0.0005,4.8448,-,-,-,24,-0.96367,0.00006,1.22306,-0.18707,-79.90302,-
ETH-31MAR23-1300-P,0.1555,172,83.44,0.152,0.1554,0.158,85.65,172,111,-0.22864,0.00023,4.64626,-0.67141,-5.2824,1
ETH-31MAR23-1800-P,0.3125,2,75.95,0.299,0.316,0.6715,200.17,1,213,-0.38419,0.00031,5.86489,-0.80965,-9.63178,9
ETH-31MAR23-3200-P,0.779,-,-,-,0.9645,1.3765,200.06,1,1,-0.70058,0.00029,5.33331,-0.72039,-22.90574,-
ETH-31MAR23-3000-C,0.1125,177,78.47,0.1085,0.1106,0.113,79.86,177,3229,0.3316,0.0003,5.57069,-0.75218,3.0397,318
ETH-31MAR23-800-C,-,500,-,0.0005,0.5862,0.758,200.07,1,-,0.90819,0.00012,2.53022,-0.40235,4.42883,-
ETH-31MAR23-1500-P,0.21,167,81.45,0.209,0.2125,0.2155,83.56,167,1960,-0.29122,0.00027,5.26553,-0.74216,-6.92951,25
ETH-31MAR23-3400-P,-,-,-,-,1.0696,1.481,200.01,1,-,-0.72941,0.00027,5.08182,-0.68669,-24.74763,-
ETH-31MAR23-500-P,0.0195,267,102.19,0.019,0.0205,0.022,106.32,257,1071,-0.03706,0.00005,1.2432,-0.2211,-0.79115,2
ETH-31MAR23-1600-P,0.245,166,80.54,0.2405,0.2443,0.2475,82.72,166,419,-0.32284,0.00029,5.51048,-0.76864,-7.80238,1
ETH-31MAR23-2000-P,0.3475,1,24.25,0.2,0.394,0.7685,200.22,1,10542,-0.44302,0.00032,6.0622,-0.82848,-11.51376,-
ETH-31MAR23-1200-P,0.129,177,84.67,0.127,0.1302,0.133,87.07,177,1360,-0.19833,0.00021,4.27646,-0.6271,-4.51871,17
