Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-9JUN22-28000-P,0.001,13.9,97.46,0.001,0.0012,0.0015,105.79,28.4,110,-0.04476,0.00005,1.79483,-35.85696,-0.05353,127.1
BTC-9JUN22-25000-C,-,-,-,-,0.1941,-,-,-,-,0.99931,-,0.0456,-1.84962,0.93858,-
BTC-9JUN22-34000-P,-,-,-,-,0.0965,-,-,-,-,-0.9745,0.00004,1.12992,-31.20235,-1.24838,-
BTC-9JUN22-24000-P,-,-,-,-,-,0.0005,190.25,26.2,-,-0.00007,-,0.00566,-0.03742,-0.00009,-
BTC-9JUN22-31000-C,0.011,8.6,66.1,0.0165,0.0174,0.018,72.24,41,73.6,0.51488,0.0003,7.5809,-193.36011,0.57984,93.7
BTC-9JUN22-34000-C,0.0005,-,-,-,0.0004,0.001,87.45,37.9,4,0.0255,0.00004,1.12992,-13.69477,0.02921,4
BTC-9JUN22-29000-P,0.0025,18.9,86.66,0.0025,0.0028,0.003,91.2,6,56.4,-0.10391,0.00011,3.43176,-86.06193,-0.12436,176.4
BTC-9JUN22-24000-C,-,-,-,-,0.2263,-,-,-,-,0.99993,-,0.00566,-0.22983,0.90174,-
BTC-9JUN22-32500-C,0.005,26.9,65.49,0.0025,0.0029,0.0035,72.8,66.7,17.7,0.13971,0.00017,4.22644,-91.50362,0.15941,18.7
BTC-9JUN22-31500-C,0.013,13,65.14,0.0095,0.0101,0.011,71.65,47.8,18.4,0.36413,0.00029,7.14186,-176.7018,0.41265,22.8
BTC-9JUN22-30500-P,0.0085,24.9,70.54,0.01,0.0107,0.0115,77.17,44.8,163.6,-0.34475,0.00026,7.00421,-187.14866,-0.41424,259.6
BTC-9JUN22-31500-P,0.0345,12.9,63.22,0.0245,0.0257,0.027,74.07,5.9,5.5,-0.63587,0.00029,7.14186,-176.7018,-0.771,5.5
BTC-9JUN22-32000-C,0.0045,27.9,64.78,0.005,0.0056,0.006,70.12,21.1,36.2,0.23399,0.00024,5.82972,-144.27886,0.26626,70.3
BTC-9JUN22-32500-P,0.042,-,-,-,0.0506,0.0775,200.24,0.1,0.2,-0.86029,0.00017,4.22644,-106.15301,-1.06181,0.2
BTC-9JUN22-36000-C,-,-,-,-,-,0.0005,115.85,14.4,-,0.0013,-,0.08158,-0.55235,0.0015,-
BTC-9JUN22-27000-P,0.0005,-,-,-,0.0005,0.001,125.23,55,32.6,-0.01902,0.00002,0.88226,-14.98751,-0.02273,32.6
BTC-9JUN22-29500-P,0.009,62.8,77.87,0.0035,0.0042,0.0045,84.85,9.4,52.4,-0.15504,0.00015,4.53192,-130.55435,-0.18562,63.5
BTC-9JUN22-26000-C,-,-,-,-,0.162,-,-,-,-,0.99567,0.00001,0.2418,-9.79921,0.97182,-
BTC-9JUN22-27500-P,0.001,33.3,98.86,0.0005,0.0008,0.0015,120.49,78.6,16.3,-0.03194,0.00003,1.36287,-26.24281,-0.03822,16.3
BTC-9JUN22-29000-C,0.0795,-,-,-,0.0679,0.1,262.7,1,8.3,0.89609,0.00011,3.43176,-111.58761,0.96535,9.8
BTC-9JUN22-28500-P,0.0025,30.9,91.03,0.0015,0.0018,0.0025,102.85,98.7,65.9,-0.06945,0.00007,2.53785,-56.90784,-0.0831,70.2
BTC-9JUN22-27000-C,-,-,-,-,0.1301,-,-,-,-,0.98098,0.00002,0.88226,-35.70065,0.99182,-
BTC-9JUN22-30500-C,0.019,6.2,66.96,0.026,0.0274,0.0295,82.44,6,15.7,0.65525,0.00026,7.00421,-187.14866,0.73184,18.9
BTC-9JUN22-29500-C,0.065,6.2,-,0.039,0.0532,0.0745,192.45,6.2,19.7,0.84496,0.00015,4.53192,-136.92362,0.92287,21.9
BTC-9JUN22-30000-P,0.0055,28.6,74.14,0.006,0.0066,0.007,79.5,8.3,153.3,-0.23355,0.00021,5.82356,-164.797,-0.27998,219.8
BTC-9JUN22-33000-P,-,-,-,-,0.0653,-,-,-,-,-0.92044,0.00011,2.81512,-72.41512,-1.14906,-
BTC-9JUN22-36000-P,-,-,-,-,0.1605,-,-,-,-,-0.9987,-,0.08158,-2.37929,-1.35124,-
BTC-9JUN22-31000-P,0.0135,21.8,66.84,0.016,0.0169,0.0175,72.97,26.8,85.2,-0.48512,0.0003,7.5809,-193.36011,-0.58502,134.8
BTC-9JUN22-32000-P,0.0295,1.7,37.43,0.0325,0.0371,0.043,96.61,2.2,0.2,-0.76601,0.00024,5.82972,-144.27886,-0.93618,0.2
BTC-9JUN22-28000-C,-,-,-,-,0.0985,-,-,-,-,0.95524,0.00005,1.79483,-65.60293,0.9986,-
BTC-9JUN22-28500-C,0.0415,-,-,-,0.0831,-,-,-,0.2,0.93055,0.00007,2.53785,-88.19033,0.98782,0.2
BTC-9JUN22-26000-P,0.0005,-,-,-,0.0001,0.001,153.21,99.6,4,-0.00433,0.00001,0.2418,-2.91217,-0.00516,4.1
BTC-9JUN22-30000-C,0.051,6.2,56.89,0.036,0.0396,0.043,95.12,1.7,13.2,0.76645,0.00021,5.82356,-164.797,0.8473,19.2
BTC-9JUN22-33000-C,0.0015,94.1,64.08,0.001,0.0015,0.002,75.39,29.7,13.5,0.07956,0.00011,2.81512,-47.50923,0.09095,13.7
BTC-9JUN22-25000-P,0.0005,-,-,-,-,0.0005,163.43,13.9,2,-0.00069,-,0.0456,-0.40157,-0.00082,2
BTC-9JUN22-27500-C,-,-,-,-,0.1144,-,-,-,-,0.96806,0.00003,1.36287,-53.65949,0.99512,-
