snapped_at,price,market_cap,total_volume
2014-07-31,583.1821057,7630850376,23252091.39
2014-08-01,593.8655274,7773046502,22927176.8
2014-08-02,588.2306992,7701689838,9260582.608
2014-08-03,585.5731941,7669135008,9179432.126
2014-08-04,586.3686859,7681459104,11325982.79
2014-08-05,582.4186268,7631722476,13046784.25
2014-08-06,583.325,7645917854,12769922.2
2014-08-07,587.203159,7699128900,11942668.46
2014-08-08,590.9072702,7749970439,12277588.53
2014-08-09,588.107856,7716004476,7934876.355
2014-08-10,588.5004826,7723612746,8504716.676
2014-08-11,573.4063,7528222642,16394404.86
2014-08-12,567.4023482,7451879445,15825348.32
2014-08-13,543.6675,7142146356,36644669.93
2014-08-14,503.7088,6619438824,46265624.63
2014-08-15,492.2844983,6470895123,31123413.36
2014-08-16,521.0463,6851511348,27941383.43
2014-08-17,494.7813,6508254264,28596111.8
2014-08-18,459.8863,6051494359,60758484.53
2014-08-19,484.155,6373125927,45173284.03
2014-08-20,514.1863,6770599524,55122051.11
2014-08-21,515.605,6791368598,47111104.08
2014-08-22,515.8263,6796320998,34159957.6
2014-08-23,496.5688,6544627813,23986341.56
2014-08-24,508.1138,6698642065,18509793.27
2014-08-25,500.3863,6598469042,15737842.72
2014-08-26,510.6388,6735887475,21288943.92
2014-08-27,510.4463,6735479301,21505988.92
2014-08-28,506.915,6691049888,18467248.49
2014-08-29,508.0963,6708840033,16001723.63
2014-08-30,501.53,6624308546,10747408.66
2014-08-31,480.0263,6342575501,43358429.76
2014-09-01,475.82,6288710717,19343751.81
2014-09-02,474.6938,6275487638,21083352.22
2014-09-03,474.7263,6277994218,14233663.71
2014-09-04,489.5475,6475917910,23597497.06
2014-09-05,480.2425,6354592772,14058803.05
2014-09-06,482.3588,6384706079,9776900.705
2014-09-07,480.6025,6363333296,7748654.383
2014-09-08,471.125,6239603056,27618107.42
2014-09-09,471.7538,6249605641,20218609.3
2014-09-10,477.1138,6322521232,20792329.42
2014-09-11,476.3775,6314752955,14579193.13
2014-09-12,473.6875,6280918617,13395857.32
2014-09-13,476.0013,6313764543,14007703
2014-09-14,474.795,6299010306,11468703.33
2014-09-15,473.0313,6278083239,12723496.88
2014-09-16,462.5925,6141505243,16956832.82
2014-09-17,454.6238,6037835957,23179362.99
2014-09-18,423.565,5627251629,48338347.98
2014-09-19,393.2625,5226301320,47766762.16
2014-09-20,408.5025,5430693510,47847915.32
2014-09-21,396.62,5274312253,32843840.16
2014-09-22,398.3113,5298466364,24225299.21
2014-09-23,433.7513,5771559860,57448184.25
2014-09-24,420.92,5602424154,32689372.44
2014-09-25,407.9775,5431965427,30733509.97
2014-09-26,402.88,5365475264,23707503.07
2014-09-27,398.0075,5301867858,16698720.05
2014-09-28,375.9888,5009825167,29504744.83
2014-09-29,373.0888,4972406273,37668363.04
2014-09-30,387.3513,5164012591,34519038.81
2014-10-01,380.895,5079406228,26019381.16
2014-10-02,371.8413,4959944621,19867284.51
