Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
ETH-11JUN22-2100-P,-,-,-,-,0.2596,-,-,-,-,-0.94222,-,-,-,-0.00112,-
ETH-11JUN22-1550-P,0.0005,-,-,-,-,0.0005,500,551,2472,-,-,-,-,-,3334
ETH-11JUN22-1950-C,0.0005,-,-,-,-,0.0005,500,97,367,-,-,-,-,-,216
ETH-11JUN22-1700-C,0.0005,-,-,-,-,0.0005,189.71,95,870,-,-,-,-,-,1173
ETH-11JUN22-1750-C,0.001,-,-,-,-,0.0005,386.07,197,2481,-,-,-,-,-,3191
ETH-11JUN22-1950-P,-,-,-,-,0.1696,-,-,-,-,-0.94444,-,-,-,-0.00104,-
ETH-11JUN22-1600-C,-,3,-,0.0035,0.0403,-,-,-,-,0.94444,-,-,-,0.00085,-
ETH-11JUN22-1900-P,-,-,-,-,0.1396,-,-,-,-,-0.94444,-,-,-,-0.00101,-
ETH-11JUN22-1800-C,0.0005,-,-,-,-,0.0005,500,121,1827,-,-,-,-,-,3047
ETH-11JUN22-2050-P,-,-,-,-,0.2296,-,-,-,-,-0.94222,-,-,-,-0.00109,-
ETH-11JUN22-1600-P,0.0005,-,-,-,-,0.0005,340.67,171,3262,-,-,-,-,-,4689
ETH-11JUN22-1650-P,0.0005,-,-,-,0.0001,0.0005,119.15,230,4751,-0.04275,0.00937,0.01161,-0.18602,-0.00004,4135
ETH-11JUN22-1700-P,0.022,13,-,0.0185,0.0197,0.02,164.66,20,5919,-0.94222,-,-,-,-0.00091,8108
ETH-11JUN22-1650-C,0.0095,19,-,0.009,0.0104,0.011,131.65,20,454,0.90247,0.00922,0.01142,-0.47773,0.00084,531
ETH-11JUN22-2050-C,0.0005,-,-,-,-,0.0005,500,40,56,-,-,-,-,-,-
ETH-11JUN22-1900-C,0.0005,-,-,-,-,0.0005,500,81,870,-,-,-,-,-,1169
ETH-11JUN22-1850-P,0.0415,-,-,-,0.1096,-,-,-,49,-0.94222,-,-,-,-0.00099,-
ETH-11JUN22-2100-C,0.0005,-,-,-,-,0.0005,500,50,30,-,-,-,-,-,-
ETH-11JUN22-2000-P,-,-,-,-,0.1996,-,-,-,-,-0.94444,-,-,-,-0.00107,-
ETH-11JUN22-1750-P,0.0445,10,-,0.0455,0.0497,-,-,-,1519,-0.94222,-,-,-,-0.00093,2128
ETH-11JUN22-1550-C,-,-,-,-,0.0703,-,-,-,-,0.94444,-,-,-,0.00083,-
ETH-11JUN22-2000-C,0.0005,-,-,-,-,0.0005,500,46,224,-,-,-,-,-,4
ETH-11JUN22-1500-P,0.0005,-,-,-,-,0.0005,500,181,935,-,-,-,-,-,518
ETH-11JUN22-1800-P,0.076,5,-,0.01,0.0797,-,-,-,180,-0.94222,-,-,-,-0.00096,118
ETH-11JUN22-1500-C,0.102,30,-,0.0005,0.1003,0.12,500,1,311,0.94222,-,-,-,0.0008,311
ETH-11JUN22-1850-C,0.0005,-,-,-,-,0.0005,500,42,1192,-,-,-,-,-,1302
