Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-1JUN22-24000-C,-,-,-,-,0.2466,-,-,-,-,0.99999,-,0.00103,-0.0417,0.8977,-
BTC-1JUN22-33000-C,0.0085,24.2,85.88,0.008,0.0084,0.009,90.87,24,62.8,0.26483,0.00019,6.37926,-205.82823,0.3055,94.3
BTC-1JUN22-32500-P,-,2.1,77.91,0.031,0.0332,0.035,95.36,1.9,-,-0.63621,0.00022,7.31474,-234.14044,-0.79758,-
BTC-1JUN22-30500-C,0.021,6.2,-,0.0165,0.0489,0.055,121.02,6.2,23.9,0.79633,0.00016,5.51407,-179.06053,0.89059,24.5
BTC-1JUN22-28500-C,-,-,-,-,0.1062,-,-,-,-,0.96636,0.00004,1.45729,-53.9864,1.02495,-
BTC-1JUN22-36000-C,-,-,-,-,0.0004,0.001,110.51,25.7,-,0.01743,0.00002,0.83909,-11.25248,0.02035,-
BTC-1JUN22-31500-P,0.016,49.1,82.77,0.015,0.0158,0.0165,89.1,10.5,34.3,-0.40548,0.00023,7.55313,-238.00989,-0.50194,76.1
BTC-1JUN22-31000-C,0.029,2.4,84.45,0.0365,0.037,0.0405,103.08,1.6,55.4,0.70457,0.0002,6.72662,-214.4413,0.79537,68.3
BTC-1JUN22-29000-C,-,-,-,-,0.0912,-,-,-,-,0.94122,0.00006,2.28372,-83.67538,1.01282,-
BTC-1JUN22-24000-P,-,-,-,-,-,0.0005,207.97,15,-,-0.00001,-,0.00103,-0.0056,-0.00001,-
BTC-1JUN22-34000-P,-,-,-,-,0.0705,-,-,-,-,-0.87857,0.00012,3.9298,-128.31739,-1.13089,-
BTC-1JUN22-29500-C,0.0765,-,-,-,0.0763,-,-,-,1,0.91238,0.00009,3.10118,-107.50363,0.99619,1
BTC-1JUN22-30000-P,0.004,58.3,88.15,0.0035,0.0039,0.0045,95.63,32.3,127.5,-0.13506,0.00012,4.23115,-124.35532,-0.16557,138.3
BTC-1JUN22-27000-C,-,-,-,-,0.1526,-,-,-,-,0.99346,0.00001,0.35728,-14.45056,1.00197,-
BTC-1JUN22-28000-P,0.0005,55.2,105.02,0.0005,0.0007,0.001,118.07,14,28.8,-0.0258,0.00003,1.16918,-21.5303,-0.03155,35.7
BTC-1JUN22-30000-C,0.035,-,-,-,0.0621,-,-,-,5.8,0.86494,0.00012,4.23115,-141.40727,0.95657,6
BTC-1JUN22-26000-C,-,-,-,-,0.1838,-,-,-,-,0.99882,-,0.07638,-3.08939,0.97109,-
BTC-1JUN22-30500-P,0.0075,35,86.57,0.006,0.0064,0.007,92.32,32.6,10.1,-0.20367,0.00016,5.51407,-179.06053,-0.25026,11.1
BTC-1JUN22-27000-P,0.001,-,-,-,0.0001,0.001,145.3,37.8,58.5,-0.00654,0.00001,0.35728,-4.65528,-0.00796,58.5
BTC-1JUN22-32000-C,0.02,46.4,84.65,0.0185,0.0191,0.02,90.81,20.5,439.7,0.47659,0.00023,7.75892,-247.50238,0.54512,529.2
BTC-1JUN22-29000-P,0.002,21.2,98.91,0.0015,0.0016,0.002,105.55,25.2,114.5,-0.05878,0.00006,2.28372,-50.34075,-0.07192,118.6
BTC-1JUN22-35000-P,-,-,-,-,0.1,-,-,-,-,-0.94723,0.00006,2.09733,-71.79134,-1.24778,-
BTC-1JUN22-31000-P,0.012,11.3,86.05,0.01,0.0102,0.011,90.77,35.6,56.4,-0.29543,0.0002,6.72662,-214.4413,-0.36418,85.4
BTC-1JUN22-29500-P,0.003,55.5,90.42,0.002,0.0024,0.003,100.55,31.7,48.9,-0.08762,0.00009,3.10118,-76.30642,-0.10725,52.8
BTC-1JUN22-32500-C,0.012,20.1,85.62,0.0125,0.0129,0.0135,89.97,15.1,659,0.36379,0.00022,7.31474,-234.14044,0.41808,687.7
BTC-1JUN22-28500-P,0.001,92.4,92.63,0.0005,0.0008,0.0015,113.28,23.3,131.3,-0.03364,0.00004,1.45729,-26.68054,-0.04109,151.5
BTC-1JUN22-35000-C,-,40.5,89.53,0.001,0.0012,0.002,103.5,78.8,-,0.05277,0.00006,2.09733,-39.64689,0.06139,-
BTC-1JUN22-31500-C,0.023,11.8,84.29,0.0265,0.0269,0.028,90.61,13.1,36.8,0.59452,0.00023,7.55313,-238.00989,0.67632,61.4
BTC-1JUN22-34000-C,0.003,41.8,87.59,0.003,0.0032,0.004,95.41,61.8,60.4,0.12143,0.00012,3.9298,-101.65934,0.14088,64.1
BTC-1JUN22-36000-P,-,-,-,-,0.1305,-,-,-,-,-0.98257,0.00002,0.83909,-28.74059,-1.32623,-
BTC-1JUN22-28000-C,-,-,-,-,0.1217,-,-,-,-,0.9742,0.00003,1.16918,-47.21284,1.01579,-
BTC-1JUN22-32000-P,0.024,40.4,82.36,0.0225,0.0237,0.0235,86.47,0.1,5.8,-0.52341,0.00023,7.75892,-247.50238,-0.65184,5.8
BTC-1JUN22-26000-P,0.0005,-,-,-,-,0.001,172.91,44.9,1,-0.00118,-,0.07638,-0.72483,-0.00143,1
BTC-1JUN22-33000-P,-,-,-,-,0.0444,-,-,-,-,-0.73517,0.00019,6.37926,-205.82823,-0.92886,-
