Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-29JUL22-15000-P,0.0055,5.4,108.3,0.005,0.0054,0.006,112.24,47,979.9,-0.02696,-,8.0161,-7.41335,-1.67879,23.2
BTC-29JUL22-32000-P,0.1115,7.3,66.24,0.1075,0.1079,0.109,67.18,33.8,320.8,-0.44997,0.00005,50.96492,-28.53655,-28.9681,41.8
BTC-29JUL22-65000-C,0.002,59.3,72.3,0.001,0.0015,0.002,78.94,3.7,110.1,0.01554,-,5.02686,-3.23101,0.72667,4
BTC-29JUL22-36000-P,0.285,15.1,61.02,0.18,0.1837,0.189,66.94,22.1,155.5,-0.63338,0.00005,48.47093,-25.91481,-42.43014,-
BTC-29JUL22-46000-P,-,-,-,-,0.4524,0.639,200.24,0.1,-,-0.89624,0.00002,23.21321,-12.72075,-70.03292,-
BTC-29JUL22-35000-P,0.262,-,-,-,0.1623,0.3785,200.04,0.1,0.3,-0.58992,0.00005,50.05887,-26.95327,-39.06176,-
BTC-29JUL22-42000-P,0.378,-,-,-,0.3364,0.54,200.07,0.1,10.2,-0.8282,0.00003,32.8045,-17.47917,-60.47722,0.1
BTC-29JUL22-60000-P,-,-,-,-,0.8816,-,-,-,-,-0.97562,0.00001,7.36793,-4.57994,-96.44615,-
BTC-29JUL22-38000-P,0.262,2.4,61.12,0.228,0.2304,0.235,66.18,3,99.1,-0.71204,0.00004,43.92997,-23.27517,-48.94193,0.1
BTC-29JUL22-18000-P,0.0105,66.7,96.53,0.009,0.0097,0.01,98.96,8.8,401.1,-0.04991,0.00001,13.26128,-10.96427,-3.09372,28.2
BTC-29JUL22-24000-P,0.029,28.8,79.83,0.0285,0.0294,0.03,81.43,51.2,700.4,-0.14934,0.00002,29.93478,-20.36347,-9.28043,31.9
BTC-29JUL22-42000-C,0.02,3.6,63.27,0.021,0.021,0.022,64.23,67.9,411.2,0.1718,0.00003,32.8045,-17.47917,7.83111,8.9
BTC-29JUL22-44000-P,0.182,-,-,-,0.3936,0.5885,199.85,0.1,0.1,-0.86707,0.00003,27.66109,-14.91892,-65.46401,-
BTC-29JUL22-75000-P,-,-,-,-,1.3499,-,-,-,-,-0.9911,-,3.10027,-2.17881,-121.56398,-
BTC-29JUL22-32000-C,0.1035,1.9,66.08,0.105,0.1056,0.107,67.33,11.2,393.3,0.55003,0.00005,50.96492,-28.53655,23.07635,73.3
BTC-29JUL22-48000-P,-,-,-,-,0.5122,-,-,-,-,-0.91907,0.00002,19.31015,-10.73301,-74.32284,-
BTC-29JUL22-34000-C,0.0775,2.2,64.51,0.0775,0.0776,0.078,64.82,19,286.3,0.45577,0.00005,51.05338,-27.77203,19.63687,34.7
BTC-29JUL22-38000-C,0.0405,4.3,62.69,0.04,0.0403,0.041,63.42,30.6,426.9,0.28796,0.00004,43.92997,-23.27517,12.86084,15.4
BTC-29JUL22-75000-C,0.001,45.5,78.29,0.0005,0.0009,0.001,84.36,0.1,69.2,0.0089,-,3.10027,-2.17881,0.41519,1.2
BTC-29JUL22-55000-P,-,-,-,-,0.7265,-,-,-,-,-0.96212,0.00001,10.61404,-6.28649,-87.68696,-
BTC-29JUL22-20000-C,-,6,-,0.0005,0.3879,-,-,-,-,0.92627,0.00001,17.99046,-13.91086,27.95966,-
BTC-29JUL22-50000-C,0.006,5.7,66.46,0.0065,0.0069,0.0075,68.42,52.9,297,0.06422,0.00001,16.1737,-9.1503,2.97888,19.1
BTC-29JUL22-34000-P,0.144,7.9,63.65,0.141,0.1425,0.1435,65.21,23,176.2,-0.54423,0.00005,51.05338,-27.77203,-35.66036,1.1
BTC-29JUL22-55000-C,0.0035,16.7,69.08,0.0035,0.0039,0.0045,72.05,19.9,272.7,0.03788,0.00001,10.61404,-6.28649,1.76443,6.1
BTC-29JUL22-40000-C,0.0275,4.1,62.92,0.029,0.029,0.0295,63.33,2.5,1229.6,0.2231,0.00004,38.43194,-20.35782,10.08075,43.2
BTC-29JUL22-48000-C,0.0085,11.6,65.44,0.0085,0.0088,0.0095,67.08,51.4,178.4,0.08093,0.00002,19.31015,-10.73301,3.74383,13.8
BTC-29JUL22-16000-C,-,-,-,-,0.5054,-,-,-,-,0.96689,0.00001,9.50527,-8.44451,23.9655,-
BTC-29JUL22-16000-P,0.007,51.4,103.77,0.006,0.0065,0.007,107.13,12.9,161.3,-0.03311,0.00001,9.50527,-8.44451,-2.05672,4
BTC-29JUL22-15000-C,-,-,-,-,0.5356,-,-,-,-,0.97304,-,8.0161,-7.41335,22.71704,-
BTC-29JUL22-100000-P,-,5,-,0.0005,2.1322,-,-,-,-,-0.99723,-,1.09582,-0.88081,-162.51009,-
BTC-29JUL22-65000-P,-,-,-,-,1.0373,-,-,-,-,-0.98446,-,5.02686,-3.23101,-104.98861,-
BTC-29JUL22-14000-P,0.005,7.2,112.37,0.004,0.0044,0.005,117.08,74.1,49,-0.02171,-,6.68366,-6.43223,-1.35528,1
BTC-29JUL22-40000-P,0.318,-,-,-,0.2817,0.4925,200.22,0.1,47.2,-0.77692,0.00004,38.43021,-20.35691,-54.9755,0.1
BTC-29JUL22-36000-C,0.056,2.4,63.35,0.056,0.0562,0.0575,64.33,22.1,324.1,0.36662,0.00005,48.47093,-25.91481,16.11986,54.9
BTC-29JUL22-44000-C,0.015,3.3,64.02,0.0155,0.0155,0.0165,65.16,66.9,327,0.13293,0.00003,27.66109,-14.91892,6.09711,3
