Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-30SEP22-24000-P,0.056,3.6,74.67,0.055,0.0559,0.0565,75.64,2.9,304.2,-0.18748,0.00002,50.06666,-15.39838,-26.21651,14
BTC-30SEP22-80000-C,0.004,6.1,74.11,0.004,0.0044,0.005,76.61,5.5,1775.8,0.03038,-,12.78994,-3.93399,2.79297,13.6
BTC-30SEP22-400000-C,0.0005,-,-,-,-,0.0005,136.51,3,331.3,0.00023,-,0.16068,-0.07462,0.02124,-
BTC-30SEP22-50000-C,0.026,7.7,63.29,0.025,0.026,0.0265,64.37,4.1,1345.9,0.15657,0.00002,44.62267,-11.66614,14.06842,76.3
BTC-30SEP22-60000-P,1,10,-,0.867,0.8795,-,-,-,153.3,-0.92086,0.00001,27.42987,-7.53141,-193.91695,-
BTC-30SEP22-300000-C,0.0005,-,-,-,0.0002,0.0005,123.39,3,200.2,0.00109,-,0.67533,-0.31364,0.09867,-
BTC-30SEP22-50000-P,0.707,3,28.75,0.5565,0.5822,0.632,92.83,3,562.8,-0.84343,0.00002,44.62267,-11.66614,-153.5524,-
BTC-30SEP22-250000-C,0.001,-,-,-,0.0004,0.0005,114.89,3,1076.8,0.0022,-,1.28846,-0.58838,0.19915,-
BTC-30SEP22-120000-P,2.061,-,-,-,2.7362,-,-,-,1,-0.99182,-,4.15925,-1.45998,-401.53468,-
BTC-30SEP22-400000-P,-,5.1,-,0.0005,11.45,-,-,-,-,-0.99977,-,0.16068,-0.07462,-1340.94527,-
BTC-30SEP22-120000-C,0.001,74,79,0.0005,0.0012,0.002,91.12,2.4,804.3,0.00818,-,4.15958,-1.46009,0.75534,-
BTC-30SEP22-32000-P,0.156,3,65.46,0.148,0.1498,0.151,66.78,4.2,51.7,-0.41986,0.00003,72.71081,-19.6827,-61.35687,8.4
BTC-30SEP22-200000-C,0.0005,-,-,-,0.0004,0.0005,104.28,3.5,847.1,0.00263,-,1.50969,-0.63106,0.24004,0.3
BTC-30SEP22-40000-C,0.0665,12,62.07,0.066,0.0673,0.068,63.02,4.8,2142.5,0.33643,0.00003,67.88435,-17.38966,28.98747,146.9
BTC-30SEP22-20000-P,0.031,6.5,81.77,0.0305,0.0312,0.032,83.15,22.3,2741.7,-0.10896,0.00001,34.74255,-11.69844,-15.09557,39.2
BTC-30SEP22-100000-C,0.0025,39.8,78.02,0.0015,0.0021,0.0025,82.92,1.9,1634.5,0.01456,-,6.86702,-2.27686,1.34262,5
BTC-30SEP22-300000-P,-,-,-,-,8.3376,-,-,-,-,-0.99891,-,0.67533,-0.31364,-1005.62622,-
BTC-30SEP22-25000-C,0.2425,8,52.51,0.2525,0.2862,0.31,87.79,8,81.7,0.78818,0.00002,53.88392,-16.27623,54.0661,-
BTC-30SEP22-10000-P,0.0055,2,112.15,0.005,0.005,0.0055,114.15,6.4,119.2,-0.01692,-,7.81247,-3.58071,-2.36175,5
BTC-30SEP22-34000-C,0.1255,1.2,64.48,0.125,0.1257,0.127,65.35,4.6,143.5,0.51464,0.00003,74.1641,-19.63615,41.8897,18.8
BTC-30SEP22-28000-P,0.0925,3.5,69.52,0.0935,0.0948,0.0955,70.52,1.2,487.6,-0.29403,0.00003,64.08783,-18.38099,-41.88484,51.5
BTC-30SEP22-32000-C,0.1395,2.3,65.9,0.153,0.1538,0.155,66.78,1.8,288.5,0.58014,0.00003,72.71081,-19.6827,45.92045,33.2
BTC-30SEP22-70000-C,0.0065,5.2,70.64,0.0065,0.0069,0.0075,72.4,5.6,1871.7,0.04676,0.00001,18.1856,-5.30549,4.29144,9
BTC-30SEP22-35000-C,0.1105,12,63.61,0.112,0.1135,0.1145,64.69,3.5,535.4,0.48247,0.00003,74.14139,-19.47148,39.73759,17.4
BTC-30SEP22-350000-P,-,-,-,-,9.8938,-,-,-,-,-0.99952,-,0.32042,-0.14881,-1173.30138,-
BTC-30SEP22-90000-P,1.1645,1,-,0.3,1.8042,-,-,-,17.5,-0.97926,-,9.29009,-2.98044,-299.8077,-
BTC-30SEP22-250000-P,-,-,-,-,6.7816,-,-,-,-,-0.9978,-,1.28855,-0.58842,-837.90491,-
BTC-30SEP22-55000-C,0.017,4.3,64.77,0.0165,0.017,0.0175,65.7,3.9,1238.3,0.10857,0.00002,34.65223,-9.23849,9.8623,11.1
BTC-30SEP22-34000-P,0.208,21,63.72,0.1815,0.184,0.186,65.67,22.6,51.2,-0.48537,0.00003,74.16318,-19.63591,-72.09402,50
BTC-30SEP22-25000-P,0.0665,27,73.12,0.063,0.0643,0.065,74.32,1.9,1501.8,-0.21181,0.00002,53.88327,-16.27603,-29.74331,8.6
BTC-30SEP22-26000-P,0.087,26.8,71.73,0.072,0.0733,0.074,72.85,2.3,399.8,-0.23756,0.00002,57.50732,-17.03081,-33.48535,14.5
BTC-30SEP22-100000-P,1,-,-,-,2.1146,-,-,-,1,-0.98544,-,6.86755,-2.27703,-333.89889,-
BTC-30SEP22-36000-C,0.098,2.1,63.43,0.1015,0.1023,0.1035,64.31,22.4,1.9,0.45097,0.00003,73.65292,-19.20301,37.54952,1.9
BTC-30SEP22-20000-C,0.365,9,53.26,0.384,0.4087,0.4235,95.27,9,40.9,0.89104,0.00001,34.7418,-11.69819,51.95333,-
BTC-30SEP22-30000-P,0.12,3,67.53,0.119,0.1201,0.1205,68.23,0.5,1870.5,-0.35531,0.00003,69.27807,-19.26218,-51.20746,182.9
BTC-30SEP22-65000-P,0.664,-,-,-,1.0321,-,-,-,2.2,-0.93998,0.00001,22.16523,-6.27945,-212.40929,-
BTC-30SEP22-70000-P,1.212,1,-,0.1,1.1857,-,-,-,30.7,-0.95324,0.00001,18.18434,-5.30513,-230.37805,-
BTC-30SEP22-45000-C,0.0405,1.9,62.38,0.04,0.0406,0.0415,63.24,5.2,2412.7,0.22793,0.00003,56.20058,-14.41016,20.17239,46.7
BTC-30SEP22-26000-C,0.2505,8,51.99,0.229,0.2641,0.2895,86.45,8,3.3,0.76245,0.00002,57.50677,-17.03065,53.67856,-
