Instrument,Last,Size,IV (Bid),Bid,Mark,Ask,IV (Ask),Size,Open,Δ|Delta,Gamma,Vega,Theta,Rho,Volume
BTC-31MAR23-26000-C,0.34,10,56.27,0.301,0.3401,0.3715,80.67,10,18,0.75039,0.00002,94.64991,-10.85923,111.68558,-
BTC-31MAR23-28000-P,0.18,11.8,67.53,0.1605,0.1638,0.1665,69.45,14,39.6,-0.28836,0.00002,101.76751,-11.46684,-123.08522,29.5
BTC-31MAR23-32000-P,0.275,14,65.34,0.2225,0.2263,0.2295,67.37,14,4.5,-0.36836,0.00002,112.38796,-12.26692,-161.8688,-
BTC-31MAR23-34000-C,0.2155,10,65,0.218,0.2211,0.224,66.7,14,30.5,0.5922,0.00002,115.73245,-12.52728,101.00505,15
BTC-31MAR23-250000-C,0.0035,126,79.9,0.0015,0.0026,0.004,88.64,26,26.9,0.01201,-,9.31843,-1.29172,2.57195,0.6
BTC-31MAR23-70000-C,0.036,32,63.81,0.037,0.0393,0.0415,65.83,17,678.4,0.16059,0.00001,72.70513,-7.7457,33.02091,18.8
BTC-31MAR23-150000-P,-,-,-,-,3.6019,-,-,-,-,-0.96895,-,20.86955,-2.59006,-1244.17513,-
BTC-31MAR23-55000-C,0.0675,50,63.76,0.0745,0.0759,0.0775,64.74,15,7.1,0.27552,0.00002,99.5588,-10.50459,54.3308,1
BTC-31MAR23-25000-C,0.323,10,56.63,0.32,0.3581,0.387,80.88,10,22,0.76922,0.00001,90.68743,-10.5052,111.90493,-
BTC-31MAR23-36000-P,-,-,-,-,0.3009,0.724,200.09,0.1,-,-0.44683,0.00002,117.86909,-12.63265,-203.52645,-
BTC-31MAR23-30000-C,0.2425,10,54.89,0.233,0.2746,0.312,78.83,10,77.9,0.67185,0.00002,107.71139,-11.92873,108.13791,-
BTC-31MAR23-250000-P,-,-,-,-,6.6612,-,-,-,-,-0.98799,-,9.31843,-1.29172,-2082.10746,-
BTC-31MAR23-38000-C,0.149,11,63.92,0.1745,0.1775,0.18,65.43,14,15.5,0.51545,0.00002,118.83361,-12.64139,91.98031,-
BTC-31MAR23-20000-C,0.4435,10,59.52,0.429,0.4587,0.4815,85.32,10,-,0.85536,0.00001,67.82856,-8.31467,107.96944,-
BTC-31MAR23-100000-C,0.0145,1,67.28,0.014,0.0155,0.0165,69.34,0.5,789.8,0.07016,0.00001,40.09595,-4.51693,14.86691,8
BTC-31MAR23-120000-P,-,-,-,-,2.6863,-,-,-,-,-0.95315,-,29.18743,-3.41533,-990.64671,-
BTC-31MAR23-40000-C,0.1485,25,63.47,0.156,0.1593,0.162,65.12,14,127.6,0.47946,0.00002,118.76947,-12.56427,87.13521,10.9
BTC-31MAR23-140000-C,0.0075,22,70.97,0.0055,0.0071,0.008,74.8,0.6,121.7,0.0335,-,22.22052,-2.6852,7.18058,0.8
BTC-31MAR23-120000-C,0.011,21,69.32,0.0085,0.0101,0.0105,71.65,0.6,383,0.04685,-,29.18743,-3.41533,9.99941,-
BTC-31MAR23-45000-C,0.11,12,63.06,0.1195,0.1226,0.125,64.62,14,133.8,0.39824,0.00002,115.03725,-12.08156,75.04196,0.3
BTC-31MAR23-40000-P,0.5,-,-,-,0.3847,0.82,197.46,77,93.9,-0.52054,0.00002,118.76947,-12.56427,-246.4135,-
BTC-31MAR23-36000-C,0.182,10,64.39,0.195,0.198,0.201,66.06,14,15.2,0.55315,0.00002,117.86584,-12.6323,96.66096,0.1
BTC-31MAR23-30000-P,0.24,14,66.33,0.19,0.1936,0.197,68.45,14,363.5,-0.32815,0.00002,107.71139,-11.92873,-142.02362,-
BTC-31MAR23-150000-C,0.0065,15,73.57,0.0055,0.0067,0.0075,76.77,0.3,408,0.03105,-,20.87229,-2.5904,6.6335,-
BTC-31MAR23-50000-C,0.09,13,62.97,0.0925,0.0953,0.0975,64.48,15,465.3,0.32986,0.00002,107.93973,-11.31465,63.85593,1.4
BTC-31MAR23-22000-P,0.1225,16,71.62,0.0875,0.0903,0.093,73.94,16,22.7,-0.17721,0.00001,77.457,-9.26352,-72.82049,-
BTC-31MAR23-300000-P,-,5,-,0.0005,8.1927,-,-,-,-,-0.9894,-,8.35679,-1.229,-2499.36869,-
BTC-31MAR23-28000-C,0.265,10,55.44,0.265,0.3061,0.3405,79.68,10,7.2,0.71164,0.00002,101.76751,-11.46684,110.39887,-
BTC-31MAR23-10000-P,0.0165,2,92.4,0.016,0.0154,0.017,93.82,23,77.9,-0.0334,-,22.16399,-3.33389,-13.29205,14
BTC-31MAR23-70000-P,0.671,-,-,-,1.1837,1.638,200.08,0.1,9.1,-0.83941,0.00001,72.70513,-7.7457,-550.68933,-
BTC-31MAR23-34000-P,-,1.5,-,0.041,0.2627,0.65,190.8,1,-,-0.40778,0.00002,115.73498,-12.52753,-182.50507,-
BTC-31MAR23-10000-C,-,12,67.09,0.697,0.7091,0.716,100.9,12,-,0.9666,-,22.16493,-3.33403,70.09426,-
BTC-31MAR23-80000-C,0.0245,18,64.84,0.0255,0.0275,0.0295,67.06,18,1115.3,0.11768,0.00001,58.81621,-6.37416,24.5494,25
BTC-31MAR23-24000-P,0.115,15,70.08,0.109,0.1121,0.115,72.35,15,40.8,-0.21238,0.00001,86.48316,-10.12005,-88.31219,16.2
BTC-31MAR23-300000-C,0.002,86.2,85.67,0.0015,0.0023,0.0035,93.4,28.9,60.6,0.0106,-,8.35679,-1.229,2.24661,-
BTC-31MAR23-32000-C,0.237,10,63.97,0.2375,0.246,0.2575,69.78,13,56.8,0.63167,0.00002,112.38977,-12.26709,104.97627,14.1
BTC-31MAR23-22000-C,-,10,58.25,0.383,0.4164,0.442,83.45,10,-,0.82279,0.00001,77.457,-9.26352,110.63129,-
BTC-31MAR23-80000-P,-,-,-,-,1.4783,1.918,200.07,0.1,-,-0.88232,0.00001,58.81621,-6.37416,-642.54801,-
BTC-31MAR23-15000-P,0.0395,19,79.31,0.034,0.0361,0.038,82.33,19,626.5,-0.07753,0.00001,43.27687,-5.75268,-30.93313,5
BTC-31MAR23-200000-P,-,-,-,-,5.1311,-,-,-,-,-0.98084,-,13.91383,-1.85756,-1663.6587,-
BTC-31MAR23-20000-P,0.07,16,73.47,0.069,0.0714,0.074,75.88,16,414.2,-0.14463,0.00001,67.82722,-8.3145,-58.80168,10.1
BTC-31MAR23-24000-C,0.374,10,57.07,0.34,0.3768,0.4055,81.97,10,1.6,0.78762,0.00001,86.48316,-10.12005,111.81704,-
BTC-31MAR23-38000-P,-,-,-,-,0.3417,0.7755,200.18,0.1,-,-0.48452,0.00002,118.83755,-12.6418,-224.88444,-
BTC-31MAR23-55000-P,-,-,-,-,0.7608,1.226,200.21,0.1,-,-0.72446,0.00002,99.56594,-10.50534,-404.29316,-
BTC-31MAR23-60000-P,1.0175,-,-,-,0.8976,1.362,200.14,0.1,2.8,-0.77253,0.00002,89.95931,-9.47248,-454.62066,-
BTC-31MAR23-50000-P,0.74,-,-,-,0.627,1.0915,200.3,0.1,56.9,-0.67014,0.00002,107.93986,-11.31469,-353.07984,-
BTC-31MAR23-60000-C,0.06,30,63.15,0.057,0.0596,0.062,64.97,16,374.5,0.22747,0.00002,89.95931,-9.47248,45.7024,11.4
