id,name,ticker,type,strike,maturity
1,BTC1,BTC/USD,call,1250,1
2,BTC1,BTC/USD,call,1250,7
3,BTC1,BTC/USD,call,1250,30
4,BTC1,BTC/USD,call,1250,60
5,BTC1,BTC/USD,call,1250,90
7,BTC1,BTC/USD,call,1250,180
70,BTC1,BTC/USD,call,1250,360
71,BTC1,BTC/USD,call,1250,720
8,BTC1,BTC/USD,call,1750,1
9,BTC1,BTC/USD,call,1750,7
10,BTC1,BTC/USD,call,1750,30
11,BTC1,BTC/USD,call,1750,60
12,BTC1,BTC/USD,call,1750,90
14,BTC1,BTC/USD,call,1750,180
140,BTC1,BTC/USD,call,1750,360
1401,BTC1,BTC/USD,call,1750,720
15,BTC1,BTC/USD,call,2250,1
16,BTC1,BTC/USD,call,2250,7
17,BTC1,BTC/USD,call,2250,30
18,BTC1,BTC/USD,call,2250,60
19,BTC1,BTC/USD,call,2250,90
21,BTC1,BTC/USD,call,2250,180
210,BTC1,BTC/USD,call,2250,360
2101,BTC1,BTC/USD,call,2250,720
22,BTC1,BTC/USD,call,2750,1
23,BTC1,BTC/USD,call,2750,7
24,BTC1,BTC/USD,call,2750,30
25,BTC1,BTC/USD,call,2750,60
26,BTC1,BTC/USD,call,2750,90
28,BTC1,BTC/USD,call,2750,180
280,BTC1,BTC/USD,call,2750,360
2801,BTC1,BTC/USD,call,2750,720
29,BTC1,BTC/USD,call,3050,1
30,BTC1,BTC/USD,call,3050,7
31,BTC1,BTC/USD,call,3050,30
32,BTC1,BTC/USD,call,3050,60
33,BTC1,BTC/USD,call,3050,90
35,BTC1,BTC/USD,call,3050,180
350,BTC1,BTC/USD,call,3050,360
3501,BTC1,BTC/USD,call,3050,720
36,BTC1,BTC/USD,call,3250,1
37,BTC1,BTC/USD,call,3250,7
38,BTC1,BTC/USD,call,3250,30
38,BTC1,BTC/USD,call,3250,60
40,BTC1,BTC/USD,call,3250,90
42,BTC1,BTC/USD,call,3250,180
420,BTC1,BTC/USD,call,3250,360
4201,BTC1,BTC/USD,call,3250,720
