id,name,ticker,type,strike,maturity
1,BTC1,BTC/USD,call,28000,1
2,BTC1,BTC/USD,call,28000,3
3,BTC1,BTC/USD,call,28000,10
4,BTC1,BTC/USD,call,28000,17
5,BTC1,BTC/USD,call,28000,31
6,BTC1,BTC/USD,call,28000,66
7,BTC1,BTC/USD,call,28000,129
70,BTC1,BTC/USD,call,28000,220
71,BTC1,BTC/USD,call,28000,311
8,BTC1,BTC/USD,call,30000,1
9,BTC1,BTC/USD,call,30000,3
10,BTC1,BTC/USD,call,30000,10
11,BTC1,BTC/USD,call,30000,17
12,BTC1,BTC/USD,call,30000,31
13,BTC1,BTC/USD,call,30000,66
14,BTC1,BTC/USD,call,30000,129
140,BTC1,BTC/USD,call,30000,220
1401,BTC1,BTC/USD,call,30000,311
15,BTC1,BTC/USD,call,31000,1
16,BTC1,BTC/USD,call,31000,3
17,BTC1,BTC/USD,call,31000,10
18,BTC1,BTC/USD,call,31000,17
19,BTC1,BTC/USD,call,31000,31
20,BTC1,BTC/USD,call,31000,66
21,BTC1,BTC/USD,call,31000,129
210,BTC1,BTC/USD,call,31000,220
2101,BTC1,BTC/USD,call,31000,311
22,BTC1,BTC/USD,call,34000,1
23,BTC1,BTC/USD,call,34000,30
24,BTC1,BTC/USD,call,34000,10
25,BTC1,BTC/USD,call,34000,17
26,BTC1,BTC/USD,call,34000,31
27,BTC1,BTC/USD,call,34000,66
28,BTC1,BTC/USD,call,34000,129
280,BTC1,BTC/USD,call,34000,220
2801,BTC1,BTC/USD,call,34000,311
29,BTC1,BTC/USD,call,45000,1
30,BTC1,BTC/USD,call,45000,3
31,BTC1,BTC/USD,call,45000,10
32,BTC1,BTC/USD,call,45000,17
33,BTC1,BTC/USD,call,45000,31
34,BTC1,BTC/USD,call,45000,66
35,BTC1,BTC/USD,call,45000,129
350,BTC1,BTC/USD,call,45000,220
3501,BTC1,BTC/USD,call,45000,311
36,BTC1,BTC/USD,call,60000,1
37,BTC1,BTC/USD,call,60000,3
38,BTC1,BTC/USD,call,60000,10
38,BTC1,BTC/USD,call,60000,17
40,BTC1,BTC/USD,call,60000,31
41,BTC1,BTC/USD,call,60000,66
42,BTC1,BTC/USD,call,60000,129
420,BTC1,BTC/USD,call,60000,220
4201,BTC1,BTC/USD,call,60000,311
